,name,period_0,period_1,period_2,period_3,period_4
disgust,SELENA,0.275386774,0.103054547,0.0700680315,0.113352473,0.099809399
surprise,SELENA,0.252574253,0.24332983700000002,0.4787783809999999,0.452786977,0.39813886600000004
neutral,SELENA,0.038984037,0.0323734006,0.033025328,0.092528365,0.009038453
anger,SELENA,0.28116506199999997,0.379478508,0.44574313,0.748593179,0.25657779199999997
sad,SELENA,0.727421869,0.48087602100000004,0.5378694199999999,0.321539016,0.338783606
happy,SELENA,0.196918069,0.51025087,0.529619375,0.371876745,0.571379298
fear,SELENA,0.424097997,0.376891129,0.5859584809999999,0.5520690320000001,0.36529734899999994
disgust,JIM,0.1390199805,0.053492121999999996,0.106223444,0.01845419,0.045969083
surprise,JIM,0.43062145100000004,0.43735074600000007,0.268205878,0.26884278699999997,0.176087549
neutral,JIM,0.0,0.020128502,0.03897770949999999,0.043429518,0.088450516
anger,JIM,0.36323048,0.36156672,0.37900013600000004,0.311700704,0.285806186
sad,JIM,0.5075964399999999,0.611976239,0.317809269,0.632980096,0.146791039
happy,JIM,0.40295999800000004,0.33717926900000006,0.403973994,0.41018755,0.31681809699999997
fear,JIM,0.279931007,0.39517372600000006,0.291235493,0.354820197,0.189891918
disgust,FRANK,0.009103643,0.0295918385,0.008928572,0.054365085,0.019841272
surprise,FRANK,0.103709733,0.268171889,0.24626179399999998,0.31001826499999996,0.4299530710000001
neutral,FRANK,0.101041485,0.08260772899999999,0.04136669,0.0643516714,0.0177686124
anger,FRANK,0.117762138,0.581939886,0.17704680399999997,0.282848404,0.470918043
sad,FRANK,0.125417185,0.480615464,0.25542463000000004,0.120493201,0.362924164
happy,FRANK,0.215116049,0.30013419100000005,0.31747555299999997,0.431199975,0.5133299600000001
fear,FRANK,0.261045269,0.277658893,0.20799176400000002,0.23578721400000002,0.5639858839999999
disgust,HENRY,0.248592445,0.137969777,0.037267968,0.074347607,0.068311316
surprise,HENRY,0.201223961,0.155264874,0.14990804800000002,0.22859650199999998,0.309594503
neutral,HENRY,0.1056313005,0.052504445600000005,0.009038453,0.0240567698,0.019780221
anger,HENRY,0.436939325,0.20930609500000003,0.025465839,0.22693958299999997,0.38565302
sad,HENRY,0.32466468300000006,0.270088593,0.14839944700000002,0.14098165999999998,0.256533148
happy,HENRY,0.4693273739999999,0.108287043,0.18052731500000002,0.251984349,0.31990728500000004
fear,HENRY,0.595516657,0.31500086000000005,0.29666661,0.7402870619999999,0.731103884
disgust,HANNAH,0.011479593,0.012045647,0.051116077499999996,0.07533088399999999,0.077541141
surprise,HANNAH,0.23557368399999998,0.107090255,0.137559503,0.0,0.091319293
neutral,HANNAH,0.0,0.0,0.023324168,0.0,0.0
anger,HANNAH,0.07908101099999999,0.111406319,0.170585329,0.157861377,0.118738168
sad,HANNAH,0.171449088,0.025733527,0.307502158,0.13938342,0.053947935
happy,HANNAH,0.357816282,0.19824463799999997,0.071428575,0.0,0.087972091
fear,HANNAH,0.322907182,0.120920254,0.146934865,0.210427409,0.063294284
