,name,period_0,period_1,period_2,period_3,period_4
disgust,T'CHALLA,0.08873371299999999,0.036947792,0.040617076999999994,0.09078370599999999,0.048184541
surprise,T'CHALLA,0.36751652999999995,0.34510068800000004,0.22196771599999998,0.134038447,0.101889112
neutral,T'CHALLA,0.072592689,0.10344002100000001,0.0533047664,0.06011093,0.004201681
anger,T'CHALLA,0.360736353,0.253469038,0.287228412,0.66012268,0.273652813
sad,T'CHALLA,0.280966474,0.362533602,0.12631653199999998,0.141025035,0.10941826399999999
happy,T'CHALLA,0.235598888,0.5441626940000001,0.459283209,0.29172831400000004,0.220354781
fear,T'CHALLA,0.42193043099999994,0.30119113200000003,0.46493065999999994,0.49414656999999995,0.246642865
disgust,",",0.090000003,0.027142858,0.027953561000000002,0.0,0.027045829
surprise,",",0.099939983,0.072857712,0.040983606,0.268323388,0.06581221000000001
neutral,",",0.043650795,0.0,0.0,0.010989012,0.004464286
anger,",",0.294910568,0.125465952,0.09645888999999999,0.155406722,0.161924404
sad,",",0.17782482,0.0,0.050911855,0.126705449,0.130544512
happy,",",0.237842499,0.32173069200000004,0.174505508,0.13055788599999998,0.148431846
fear,",",0.36216304,0.074128276,0.18812563699999998,0.27800823,0.172124061
disgust,NAKIA,0.0,0.054259796,0.021645023,0.082417585,0.022249729
surprise,NAKIA,0.30205413799999997,0.19975337299999998,0.09457818700000001,0.092060081,0.0
neutral,NAKIA,0.080239432,0.098263712,0.011904763,0.0,0.0
anger,NAKIA,0.105088352,0.334905362,0.05952381,0.0,0.27865031500000004
sad,NAKIA,0.14547629,0.17030054100000003,0.064935067,0.078125003,0.074876853
happy,NAKIA,0.470629448,0.366030953,0.11773009400000001,0.224515535,0.241435787
fear,NAKIA,0.11149540000000001,0.17780647,0.238488626,0.061626558,0.259277688
disgust,ROSS,0.0094905095,0.051559325,0.021714002,0.019906323,0.017857144
surprise,ROSS,0.125247586,0.09206328,0.086315538,0.063023607,0.12091003
neutral,ROSS,0.0,0.049295457,0.0,0.0,0.09837115199999999
anger,ROSS,0.246436004,0.24850342499999997,0.025474526,0.173735706,0.255543044
sad,ROSS,0.30712297,0.14464201999999998,0.025733527,0.11289771100000001,0.07906077
happy,ROSS,0.23329787700000001,0.19014484399999998,0.101405648,0.0,0.170365927
fear,ROSS,0.282186695,0.132155217,0.153496361,0.056300062,0.25509699799999996
disgust,KLAUE,0.13550703799999997,0.07857143000000001,0.012045647,0.017857144,0.010608205
surprise,KLAUE,0.30547910200000006,0.0,0.045876887,0.15542329,0.06814014800000001
neutral,KLAUE,0.068152406,0.0558427896,0.0,0.017857144,0.0272713596
anger,KLAUE,0.281885295,0.024344945,0.089418217,0.0,0.11904085
sad,KLAUE,0.05164717,0.212841176,0.032879822,0.0,0.075962193
happy,KLAUE,0.274876326,0.298939386,0.035147395,0.126875553,0.168879678
fear,KLAUE,0.269070962,0.232578493,0.154447119,0.049573563,0.0650481
