,name,period_0,period_1,period_2,period_3,period_4
disgust,MIGUEL,0.17778155900000003,0.0846052595,0.150076213,0.27503466499999996,0.15044438200000002
surprise,MIGUEL,2.0481464230000004,1.764510038,1.1338726350000001,2.058086966,0.97652461
neutral,MIGUEL,0.2013813282,0.29629741700000006,0.4901928205999999,0.3294676084,0.05088549800000001
anger,MIGUEL,0.41790036300000005,0.8120621969999999,0.5583137829999999,0.7234277359999999,0.6404326100000001
sad,MIGUEL,0.7083026490000001,0.9314453480000001,0.6449320759999999,0.507092117,0.48663948400000007
happy,MIGUEL,1.6445984230000001,2.2150795409999997,1.8061990770000003,1.774575127,1.3007075800000003
fear,MIGUEL,0.6871839650000001,1.456143978,0.386862473,0.782024982,0.5906350409999999
disgust,DE LA CRUZ,0.05298626,0.043532205,0.031043227,0.0082589295,0.018813778
surprise,DE LA CRUZ,0.461052016,0.426435002,0.326504006,0.092688822,0.192293921
neutral,DE LA CRUZ,0.21692631399999998,0.03549301,0.065548475,0.07098602,0.0
anger,DE LA CRUZ,0.286133418,0.128155313,0.144705969,0.092865687,0.024209015
sad,DE LA CRUZ,0.132628832,0.185383104,0.176633101,0.100242216,0.116436237
happy,DE LA CRUZ,0.568646529,0.386329195,0.367462105,0.161095542,0.268295685
fear,DE LA CRUZ,0.102556728,0.231165477,0.279625046,0.032812502,0.030281078
disgust,HÉCTOR,0.133453392,0.160406716,0.143380716,0.103156192,0.063468126
surprise,HÉCTOR,1.203194283,1.223150517,1.7031471780000003,0.939179008,1.4147051989999997
neutral,HÉCTOR,0.08676336,0.30868069499999995,0.19243155299999998,0.05867464039999999,0.111243024
anger,HÉCTOR,0.48713802700000003,0.21913609900000003,0.486606388,0.652949369,0.6778119449999999
sad,HÉCTOR,0.35701353300000005,0.196974128,0.395827762,0.353754446,0.6356444059999999
happy,HÉCTOR,0.9347482859999997,1.4227680439999997,1.3868630979999998,0.6504583190000001,0.6857896090000001
fear,HÉCTOR,0.6924813520000002,0.447676468,0.465524181,0.625354664,0.46451131199999995
disgust,MAMÁ IMELDA,0.033584064999999996,0.0,0.034805706000000006,0.023203804,0.060452711
surprise,MAMÁ IMELDA,0.119637633,0.235539196,0.239841222,0.247863176,0.274327419
neutral,MAMÁ IMELDA,0.004201681,0.0,0.0047619054,0.0092261914,0.0
anger,MAMÁ IMELDA,0.076973416,0.081746021,0.362594859,0.346823588,0.298901455
sad,MAMÁ IMELDA,0.030612247,0.182484905,0.31795471000000003,0.121632135,0.130559067
happy,MAMÁ IMELDA,0.147361538,0.23128709200000003,0.155426131,0.387019279,0.231440474
fear,MAMÁ IMELDA,0.151686976,0.122704255,0.371638753,0.122059842,0.21858344100000002
disgust,ABUELITA,0.0,0.010748959,0.0,0.0,0.037204191
surprise,ABUELITA,0.03139792,0.390772026,0.158761784,0.076862406,0.254317199
neutral,ABUELITA,0.009038453,0.032438118,0.032438118,0.0,0.04786019700000001
anger,ABUELITA,0.15017378399999998,0.0,0.049787397,0.030952383,0.163320403
sad,ABUELITA,0.02499662,0.038131043,0.0,0.025489338,0.23523487900000004
happy,ABUELITA,0.051549867,0.180120031,0.137344321,0.06418346999999999,0.44686365199999994
fear,ABUELITA,0.04465131,0.0,0.026369687,0.059801348000000004,0.10370225000000001
