,name,period_0,period_1,period_2,period_3,period_4
disgust,NEIL,0.1076081425,0.044776081999999995,0.123250478,0.14482449,0.069680322
surprise,NEIL,0.565809919,0.195048198,0.5368135169999999,0.52697365,0.303146518
neutral,NEIL,0.0426945294,0.08348947949999999,0.011111111600000001,0.129480614,0.024890407399999998
anger,NEIL,0.752466661,0.249509187,0.745427745,0.5452365790000001,0.5953460089999999
sad,NEIL,0.33466678800000005,0.317714288,0.304479251,0.7771920000000001,0.514277925
happy,NEIL,0.7895255689999999,0.34334965500000003,0.47946655399999993,0.9006382209999996,0.7194355119999999
fear,NEIL,0.37368092700000005,0.292528334,0.55618917,0.31069645,0.174640677
disgust,CHARLIE,0.161830116,0.008175559,0.014285715,0.04817044400000001,0.050186383
surprise,CHARLIE,0.065456072,0.23355683000000002,0.344893608,0.197788152,0.428091159
neutral,CHARLIE,0.020128502,0.080941366,0.0,0.009038453,0.044531463
anger,CHARLIE,0.115543231,0.381245326,0.097867658,0.2347768,0.324914694
sad,CHARLIE,0.275651764,0.166296482,0.18529916100000002,0.14669796400000001,0.4538645110000001
happy,CHARLIE,0.066496597,0.689113332,0.405275866,0.18533989499999998,0.439348298
fear,CHARLIE,0.09759048000000001,0.15349827700000002,0.226823343,0.216504599,0.37662447299999996
disgust,KNOX,0.06287116000000001,0.059758298999999994,0.155245277,0.0499536575,0.065476194
surprise,KNOX,0.11466188199999999,0.25474066,0.122394262,0.12372303400000001,0.22060894300000003
neutral,KNOX,0.040987516,0.0,0.03549301,0.005494506,0.005494506
anger,KNOX,0.30654193799999996,0.16473666199999998,0.268672643,0.38467985499999996,0.144320207
sad,KNOX,0.148072582,0.17401646599999998,0.182521004,0.264802134,0.184404367
happy,KNOX,0.4524560760000001,0.213405019,0.364345234,0.261362408,0.408027965
fear,KNOX,0.152816814,0.02861953,0.104333816,0.154715968,0.318862249
disgust,TODD,0.029958890000000002,0.0,0.0,0.042659464,0.018668832
surprise,TODD,0.100104514,0.06452618900000001,0.34496931000000003,0.161501623,0.20777229
neutral,TODD,0.020128502,0.0,0.0,0.0,0.008928572
anger,TODD,0.27448839,0.074608036,0.21394846199999998,0.170186975,0.18327522
sad,TODD,0.177441516,0.040777232,0.24372907200000002,0.084465448,0.18977024
happy,TODD,0.10886818100000001,0.20510641699999999,0.142202342,0.449635746,0.14045644799999998
fear,TODD,0.153948655,0.121069435,0.14813444,0.063404885,0.253012969
disgust,CAMERON,0.0,0.08309307,0.044039801,0.008241759,0.0428174145
surprise,CAMERON,0.237230502,0.09842534,0.058717907,0.211344132,0.268154364
neutral,CAMERON,0.020128502,0.072695122,0.0047619054,0.0047619054,0.0
anger,CAMERON,0.090055201,0.30278243800000004,0.231999536,0.118402467,0.157863535
sad,CAMERON,0.146782753,0.11899517700000001,0.153000056,0.161659773,0.15411150899999998
happy,CAMERON,0.065308242,0.435939594,0.26241516900000006,0.472360419,0.335036794
fear,CAMERON,0.126118305,0.38324740700000004,0.150261846,0.29255380599999997,0.355771248
