,name,period_0,period_1,period_2,period_3,period_4
disgust,JESSICA,0.048889695,0.105091671,0.046047431,0.038389515,0.078323224
surprise,JESSICA,0.29046931600000003,0.14050890500000002,0.15690283300000002,0.156318769,0.178016672
neutral,JESSICA,0.032847979,0.0059523815,0.044421582,0.011904763,0.045918369
anger,JESSICA,0.22103941999999996,0.20769806899999999,0.309249172,0.273942258,0.13031463299999999
sad,JESSICA,0.32702184900000003,0.136384499,0.099181642,0.184350288,0.302230228
happy,JESSICA,0.398702088,0.36152513799999997,0.45900996299999997,0.209297811,0.449303574
fear,JESSICA,0.591205063,0.38997544500000003,0.34353261500000004,0.37559992400000003,0.23565225900000003
disgust,--,0.035714287,0.061632655,0.0,0.051020410499999995,0.0401458485
surprise,--,0.22374878000000004,0.26180778800000004,0.03426314,0.15778413600000002,0.064225696
neutral,--,0.042207794,0.024489797,0.0,0.035714287,0.003968254
anger,--,0.139233635,0.161579693,0.025395034,0.121407212,0.18477617000000002
sad,--,0.22377466299999998,0.13625817199999998,0.058910901,0.267076763,0.056796493
happy,--,0.264887769,0.254755447,0.08196336200000001,0.23069044900000002,0.279928579
fear,--,0.22472118700000002,0.327487012,0.10212249600000001,0.22587722999999998,0.26456386
disgust,PAUL,0.170471055,0.19126412799999998,0.083439021,0.054115091,0.13142489349999997
surprise,PAUL,0.7679364419999998,0.5564173480000001,0.47704130499999997,0.502595088,0.7406548529999999
neutral,PAUL,0.0376098844,0.004201681,0.005494506,0.0872292464,0.05966461590000001
anger,PAUL,0.478788097,0.667483002,0.262753347,0.7237931400000001,0.504825118
sad,PAUL,0.474286954,0.36991239800000003,0.201895824,0.383878516,0.42512447900000006
happy,PAUL,0.7642249080000002,0.559051585,0.575139033,0.5453854419999999,1.033890654
fear,PAUL,0.8738091530000001,0.924579168,0.56490532,0.49518327500000003,0.6974573239999998
disgust,REVEREND MOTHER,0.038337831,0.026484752,0.010204082,0.024206945,0.087865264
surprise,REVEREND MOTHER,0.034688015,0.101210428,0.11501025,0.283954031,0.24377674900000001
neutral,REVEREND MOTHER,0.0,0.0047619054,0.0071428576,0.004201681,0.0426358676
anger,REVEREND MOTHER,0.0546793,0.197658498,0.12991156,0.324189061,0.28783713000000005
sad,REVEREND MOTHER,0.026098901,0.129720513,0.032019705,0.23635816899999998,0.28952724100000005
happy,REVEREND MOTHER,0.27255513400000003,0.134624678,0.17086732,0.16388403599999998,0.4443590190000001
fear,REVEREND MOTHER,0.14221735000000002,0.20348423100000002,0.17874600200000001,0.13494856,0.541278069
disgust,DUKE LETO,0.056390982,0.032453811,0.0082589295,0.01739332,0.011479593
surprise,DUKE LETO,0.098519798,0.06324862,0.032818533,0.148860581,0.15951624200000003
neutral,DUKE LETO,0.0,0.0,0.0,0.030055465,0.009038453
anger,DUKE LETO,0.02631579,0.24456390499999997,0.055599769,0.11041042300000001,0.07848221999999999
sad,DUKE LETO,0.139648039,0.09368464600000001,0.06531733,0.10466128,0.100418095
happy,DUKE LETO,0.156559067,0.10160956899999998,0.094163732,0.168981867,0.24590863000000002
fear,DUKE LETO,0.09601965,0.11288114900000001,0.032812502,0.34414767700000004,0.136997298
