,name,period_0,period_1,period_2,period_3,period_4
disgust,JACK,0.31626613100000006,0.1054072655,0.27179548200000003,0.182988231,0.17773699650000005
surprise,JACK,1.142463675,0.7603861999999999,1.035735369,0.9359063889999999,0.764195198
neutral,JACK,0.1641379035,0.039093918,0.022734736,0.13043194900000002,0.0772713634
anger,JACK,1.1723477860000002,0.7347352569999999,1.3454515310000001,1.5228389370000002,0.9369206619999997
sad,JACK,1.3083732369999999,0.6884382299999999,0.7312507769999999,0.9510488879999999,0.7457504460000001
happy,JACK,1.183063762,0.873410401,1.6228732200000004,1.176832948,1.0551060490000002
fear,JACK,0.9815451819999997,1.043311422,1.4010856729999999,1.6085935669999993,0.7951917009999999
disgust,TYLER,0.3058984635,0.34133075749999997,0.21615723399999998,0.3112959435,0.290564457
surprise,TYLER,1.4856061879999998,0.9789937920000003,1.3630353089999998,0.85275072,1.1500015389999998
neutral,TYLER,0.092481673,0.1183919235,0.24053087700000003,0.1742278776,0.30105596100000004
anger,TYLER,1.3690147639999999,1.6556347810000003,1.3079523750000002,0.793059131,1.445789576
sad,TYLER,1.1812926089999998,1.196305959,1.19026709,1.1049502240000002,1.033475549
happy,TYLER,1.3525173920000002,1.2529191689999999,1.949845916000001,1.4602880019999995,1.2918791910000003
fear,TYLER,2.1114562719999994,2.131411838,1.8312364979999995,1.299475841,1.2914779269999996
disgust,MARLA,0.150762934,0.08928572,0.186160801,0.038140736,0.075892862
surprise,MARLA,0.22987462300000003,0.215877336,0.42512434799999993,0.37682567399999994,0.24778545200000002
neutral,MARLA,0.062793563,0.0791458956,0.054453900599999994,0.043938028000000004,0.024890407399999998
anger,MARLA,0.294433861,0.237771077,0.3981940480000001,0.553857222,0.434459449
sad,MARLA,0.28996664,0.233718812,0.283202626,0.34888996099999997,0.268487674
happy,MARLA,0.37297215499999997,0.355114947,0.9996789900000002,0.8134985269999998,0.318687972
fear,MARLA,0.336670694,0.367433362,0.648156189,0.274228268,0.243985827
disgust,BOB,0.0,0.0,0.013095239,0.0,0.017857144
surprise,BOB,0.0,0.036203522,0.028760467,0.036885247,0.029761905
neutral,BOB,0.0,0.07098602,0.0,0.0,0.013888889500000001
anger,BOB,0.0,0.07191976,0.028911566,0.024785327,0.053900097
sad,BOB,0.0,0.045918364,0.23792186499999998,0.0,0.180807606
happy,BOB,0.0,0.15925355200000002,0.0,0.04195941,0.103941385
fear,BOB,0.0,0.09247638999999999,0.089755091,0.12331082,0.148504496
disgust,LEADER,0.023809526,0.0,0.0,0.0,0.012045647
surprise,LEADER,0.095679367,0.054655872,0.0,0.131201717,0.061400017
neutral,LEADER,0.0,0.0,0.0,0.0,0.0
anger,LEADER,0.03781513,0.077663221,0.08237328,0.136750445,0.061073545
sad,LEADER,0.06849315,0.0,0.0,0.050895864,0.055495545
happy,LEADER,0.08806262,0.304503286,0.050369952,0.166230558,0.078997165
fear,LEADER,0.15990056700000002,0.0,0.028173024,0.133491613,0.054518807
