,name,period_0,period_1,period_2,period_3,period_4
disgust,ANNA,0.1016704745,0.17117033299999998,0.0709781275,0.071291964,0.057448459
surprise,ANNA,0.7234393259999998,0.6755137339999999,0.4398580369999999,0.48127678700000004,0.6534739270000001
neutral,ANNA,0.171012772,0.10084188150000002,0.09758382859999998,0.07310498300000001,0.020460493399999998
anger,ANNA,0.40029183499999993,1.1945652199999999,0.7645194329999998,0.627967822,0.5576595660000001
sad,ANNA,0.378393067,1.113040405,0.560603752,0.6513593750000002,0.344832678
happy,ANNA,1.1546433710000001,0.809102438,1.265351706,1.039325227,1.150410599
fear,ANNA,0.8220091520000001,0.9005269290000002,0.6841399790000002,1.107955879,0.519562374
disgust,KRISTOFF,0.14974483900000002,0.045190635,0.029497099000000002,0.059571452000000004,0.0752529375
surprise,KRISTOFF,0.809538524,0.489091011,0.371266302,0.430397337,0.412633151
neutral,KRISTOFF,0.080514008,0.060385506,0.026622009,0.18846375149999997,0.06406653000000001
anger,KRISTOFF,0.8034512949999999,0.33503996900000005,0.5074140869999999,0.7144010489999998,0.6667909059999999
sad,KRISTOFF,0.619884864,0.485762059,0.5599154279999999,0.509832912,0.5044610740000001
happy,KRISTOFF,0.9403239539999999,0.49031609800000003,0.616635413,0.662797548,0.556953557
fear,KRISTOFF,0.6001646060000001,0.481587722,0.532808217,0.5924747950000001,0.7076606950000001
disgust,ELSA,0.08092637,0.009103643,0.0,0.0,0.009652509
surprise,ELSA,0.28078812200000003,0.07114838700000001,0.20538619600000002,0.22160012400000004,0.31342040299999996
neutral,ELSA,0.0,0.0,0.0,0.006493507,0.0138003584
anger,ELSA,0.292773369,0.219316395,0.096453278,0.075036493,0.182584669
sad,ELSA,0.170169215,0.13746766000000002,0.14816453999999998,0.162401091,0.44046302200000004
happy,ELSA,0.550189041,0.09811704800000001,0.275455562,0.37769650099999996,0.31056153500000006
fear,ELSA,0.09860466200000001,0.228596094,0.200711193,0.49132830400000005,0.463679967
disgust,HANS,0.081837492,0.008196722,0.0599702435,0.024326126,0.067484253
surprise,HANS,0.099171867,0.222101059,0.37952533799999993,0.17507746400000002,0.230873078
neutral,HANS,0.013130252999999998,0.0,0.022619049399999997,0.009038453,0.020128502
anger,HANS,0.247547233,0.02781955,0.153605782,0.219622036,0.597326584
sad,HANS,0.18064974900000003,0.271907175,0.300369712,0.16972616299999999,0.30949406100000004
happy,HANS,0.43370805100000004,0.322597605,0.218983698,0.330864979,0.5733810530000001
fear,HANS,0.533928375,0.20763218700000002,0.6826564880000001,0.33356711499999997,0.678294099
disgust,OLAF,0.026370968,0.0,0.031350248500000004,0.0,0.046475148
surprise,OLAF,0.32194032,0.122629229,0.402041642,0.49736928300000005,0.37773666499999997
neutral,OLAF,0.009038453,0.020128502,0.041476571000000004,0.020128502,0.0
anger,OLAF,0.19348789,0.051817475,0.24922054899999999,0.552327499,0.32936668799999996
sad,OLAF,0.235733854,0.21536708200000002,0.319110626,0.468287446,0.222376259
happy,OLAF,0.340211711,0.131966588,0.670592679,1.012568881,0.727773245
fear,OLAF,0.237690317,0.24299205499999998,0.43115842600000004,0.704379409,0.558703296
