,name,period_0,period_1,period_2,period_3,period_4
disgust,D,0.0,0.0,0.010489511,0.0,0.055923719
surprise,D,0.223143837,0.222215189,0.074481081,0.061730600000000004,0.270012994
neutral,D,0.0,0.009038453,0.014430015000000001,0.009038453,0.025623008
anger,D,0.271262811,0.191037518,0.274340941,0.058965458,0.339756349
sad,D,0.10710705400000001,0.27987818799999997,0.313703286,0.08463046,0.212091161
happy,D,0.180913811,0.384198147,0.17354447199999998,0.07019664,0.30932418700000003
fear,D,0.08991322,0.49006973899999995,0.233543873,0.16382405,0.5354030750000001
disgust,LYNCH,0.038821893999999996,0.12986456,0.040277779,0.053153104,0.0284547005
surprise,LYNCH,0.186976549,0.154424718,0.35270957799999997,0.542974373,0.681164864
neutral,LYNCH,0.061116017999999994,0.051246016,0.0426945294,0.0658779234,0.071708118
anger,LYNCH,0.242248241,0.288101731,0.387039462,0.5825398260000001,0.49417974000000003
sad,LYNCH,0.195676228,0.146714225,0.341495072,0.37968856900000003,0.569286208
happy,LYNCH,0.4116848150000001,0.8717196739999999,0.344368285,0.500243594,0.596823527
fear,LYNCH,0.38221721099999995,0.675226691,0.47654797,0.70640014,0.818547982
disgust,R,0.0,0.0,0.0,0.020408165,0.080617078
surprise,R,0.20378317,0.130350592,0.277795852,0.306441046,0.119647381
neutral,R,0.025623008,0.040374626000000004,0.0,0.008928572,0.014285715
anger,R,0.18761774,0.35304017499999996,0.219741095,0.206616329,0.26879989
sad,R,0.17487270100000002,0.253695424,0.366556059,0.313893662,0.042857148
happy,R,0.11244664200000001,0.204156591,0.28422706,0.4960255229999999,0.22516297000000002
fear,R,0.249282034,0.426164683,0.20208908599999997,0.439543398,0.238907243
disgust,A,0.05638061849999999,0.107535325,0.055357665,0.045571597500000005,0.023045824
surprise,A,0.14588199999999998,0.338877773,0.1550525,0.168597272,0.47482189500000005
neutral,A,0.0,0.0,0.0,0.0,0.014285715
anger,A,0.31622834499999997,0.128721537,0.11601988299999999,0.18786581300000002,0.22438177399999998
sad,A,0.264931005,0.17507861,0.286686395,0.2653521,0.34961399700000007
happy,A,0.236105974,0.26853071,0.26656739799999996,0.161396282,0.40988084699999994
fear,A,0.028173024,0.650824858,0.19219478199999998,0.151536065,0.509483704
disgust,DAN,0.036790606999999996,0.0,0.023991886000000004,0.0,0.052969504
surprise,DAN,0.097555227,0.279753359,0.059376628,0.16979569099999997,0.04403131
neutral,DAN,0.029166955,0.0138003584,0.0,0.007936508,0.020128502
anger,DAN,0.375748627,0.278105669,0.08133906,0.152545855,0.202094745
sad,DAN,0.096345745,0.211118543,0.07289014099999999,0.18290312300000003,0.175505634
happy,DAN,0.42716743200000007,0.199526408,0.252902181,0.210140034,0.03428371
fear,DAN,0.04465131,0.20057597,0.20210740900000002,0.49377023400000003,0.258921855
