,name,period_0,period_1,period_2,period_3,period_4
disgust,JEROME,0.17631251750000002,0.074786085,0.12273040900000001,0.014769066,0.082432134
surprise,JEROME,0.544294146,0.324650255,0.610550482,0.4040190310000001,0.594645556
neutral,JEROME,0.1308829502,0.048193512,0.02806501,0.025623008,0.020308123999999997
anger,JEROME,0.751817285,0.28983067100000004,0.552573712,0.6944090490000001,1.014732203
sad,JEROME,0.6023963769999999,0.485417493,0.5313981529999999,0.31367187599999996,0.432058076
happy,JEROME,0.44803370100000006,0.40191044000000004,0.8212322390000001,0.40382060499999994,0.5865875809999999
fear,JEROME,0.6502601299999999,0.37095293500000004,0.7546267279999999,0.324375082,0.7125017589999999
disgust,EUGENE,0.27968515600000005,0.0779696555,0.038740976499999996,0.1695285795,0.083820078
surprise,EUGENE,0.510428824,0.473330323,0.23412484200000003,0.517522324,0.6101239030000001
neutral,EUGENE,0.1808392056,0.043938028000000004,0.020128502,0.16192640500000002,0.138386071
anger,EUGENE,0.23946937699999998,0.320159681,0.30145851500000004,0.49189537299999997,0.38414114499999996
sad,EUGENE,0.371411798,0.512020849,0.420013401,0.49510817500000004,0.515287632
happy,EUGENE,0.723386609,0.36645604500000006,0.245267195,0.714459493,0.609680708
fear,EUGENE,0.333274938,0.575545433,0.324276642,0.435474504,0.562999469
disgust,IRENE,0.031065763,0.020738013,0.113079071,0.0320684555,0.039625853
surprise,IRENE,0.28095164799999994,0.209328159,0.306569813,0.19679894999999997,0.14070587
neutral,IRENE,0.003968254,0.004464286,0.021026466,0.093150048,0.023809526
anger,IRENE,0.109236793,0.35739448900000004,0.273541959,0.187758656,0.247506199
sad,IRENE,0.22823079500000001,0.16002225,0.38834165,0.181415775,0.14348968
happy,IRENE,0.19051721,0.33136209000000005,0.279634097,0.509753515,0.193226612
fear,IRENE,0.24094844399999998,0.367712104,0.393638908,0.178945193,0.20279656999999998
disgust,INVESTIGATOR,0.205539467,0.0561539905,0.116048721,0.13583907400000003,0.07167831399999999
surprise,INVESTIGATOR,0.09125625400000001,0.231916809,0.198664379,0.314484531,0.140247088
neutral,INVESTIGATOR,0.042562477,0.008928572,0.035714287,0.008432539999999999,0.003968254
anger,INVESTIGATOR,0.42366840100000003,0.27959842300000004,0.304672938,0.262150787,0.305211817
sad,INVESTIGATOR,0.09776942999999999,0.24939355800000002,0.228620328,0.24095795699999997,0.095841835
happy,INVESTIGATOR,0.322669423,0.38401417299999996,0.273122464,0.19411783,0.23817189600000002
fear,INVESTIGATOR,0.297268776,0.195908174,0.33769187700000003,0.249747649,0.104186203
disgust,VINCENT,0.022200773,0.012045647,0.018518519,0.0,0.0
surprise,VINCENT,0.028409094,0.060094585000000006,0.0,0.069513113,0.085778295
neutral,VINCENT,0.0,0.0,0.0,0.0,0.0
anger,VINCENT,0.108172603,0.08530823800000001,0.055208905,0.024785327,0.142119778
sad,VINCENT,0.09882305400000001,0.099675527,0.032019705,0.0,0.032812
happy,VINCENT,0.05362319,0.116768726,0.067761364,0.078114615,0.035064936
fear,VINCENT,0.15818310300000002,0.161409325,0.060135015,0.0308642,0.028619802
