,name,period_0,period_1,period_2,period_3,period_4
disgust,RAY,0.0,0.0,0.018518519,0.0391156495,0.0
surprise,RAY,0.0,0.0,0.111801244,0.116613192,0.027640942
neutral,RAY,0.0,0.020128502,0.0,0.023809526,0.007936508
anger,RAY,0.0,0.075919159,0.059712776999999995,0.131390387,0.02435687
sad,RAY,0.0,0.032019705,0.0,0.16827944,0.138304708
happy,RAY,0.0,0.115985719,0.388337065,0.071428575,0.03159341
fear,RAY,0.0,0.031034485,0.101491244,0.027162978,0.076802033
disgust,WINSTON,0.0,0.0,0.00974026,0.018170428,0.0
surprise,WINSTON,0.0,0.035824627,0.0487013,0.02922078,0.0
neutral,WINSTON,0.0,0.0,0.0,0.0,0.0
anger,WINSTON,0.0,0.17202347,0.04841803,0.20836749,0.12553191
sad,WINSTON,0.0,0.034206267,0.02922078,0.035714287,0.07927787
happy,WINSTON,0.0,0.135636087,0.22337226,0.0,0.0
fear,WINSTON,0.0,0.03505291,0.02922078,0.034461156,0.0
disgust,PETER,0.08484335200000001,0.0,0.03018957,0.0,0.011520738
surprise,PETER,0.02747253,0.0,0.033910535,0.0,0.284278065
neutral,PETER,0.050295262,0.020128502,0.008928572,0.0,0.0166666684
anger,PETER,0.232117837,0.104237524,0.086850656,0.185555914,0.140235148
sad,PETER,0.196256216,0.0,0.087662343,0.051152249999999996,0.112995148
happy,PETER,0.087017342,0.13135945,0.13607562299999998,0.12297991,0.349220608
fear,PETER,0.085884359,0.05337942,0.0625,0.031904764,0.105867903
disgust,SLIMER,0.0,0.0,0.00974026,0.0,0.009103643
surprise,SLIMER,0.0,0.09818827699999999,0.103049128,0.0,0.0
neutral,SLIMER,0.0,0.009038453,0.0,0.0,0.0
anger,SLIMER,0.0,0.086709015,0.0,0.08237328,0.032446314
sad,SLIMER,0.0,0.200444837,0.058723887,0.0,0.096317284
happy,SLIMER,0.0,0.129813837,0.02922078,0.0,0.19668152
fear,SLIMER,0.0,0.08660142800000001,0.058723887,0.0,0.089861766
disgust,EGON,0.0,0.0,0.0153061235,0.0,0.00974026
surprise,EGON,0.0,0.036388144,0.026967932,0.034688015,0.102272733
neutral,EGON,0.0,0.0,0.030055465,0.0,0.0
anger,EGON,0.0,0.033692725,0.17122491,0.0,0.026108375
sad,EGON,0.0,0.0,0.086005828,0.0,0.104607835
happy,EGON,0.0,0.028301887,0.03635137,0.028940888,0.057299599
fear,EGON,0.0,0.033692725,0.061191276,0.039614126,0.060255265
