,name,period_0,period_1,period_2,period_3,period_4
disgust,MICHAEL,0.283835057,0.10120993450000002,0.153184565,0.1337836425,0.05674722800000001
surprise,MICHAEL,0.49206613,0.888180751,0.8757985859999999,0.6759002099999999,0.525246953
neutral,MICHAEL,0.17324399099999999,0.060316887,0.043885005500000004,0.0918051466,0.09723715740000001
anger,MICHAEL,0.964298183,0.7977991479999998,0.5407152410000001,0.6716287320000001,0.673673806
sad,MICHAEL,0.7676313619999999,0.608306408,0.6411180789999998,0.546912427,0.6618111809999999
happy,MICHAEL,1.6785514470000003,1.376948426,1.6810840200000003,1.313106357,1.306122186
fear,MICHAEL,0.687005895,1.117167235,1.1934144050000002,0.869905771,0.9481378210000002
disgust,HAGEN,0.045684525999999996,0.07988050299999999,0.062046810499999994,0.034755429000000004,0.07846059699999999
surprise,HAGEN,0.156920049,0.586460043,0.09706335699999999,0.089392161,0.313727512
neutral,HAGEN,0.066852335,0.1112760068,0.014430015000000001,0.0,0.050515024000000006
anger,HAGEN,0.382373445,0.44896784200000006,0.267704465,0.38276714599999995,0.45804077100000007
sad,HAGEN,0.239208704,0.240074358,0.320087874,0.276952977,0.380524488
happy,HAGEN,0.230960435,0.6601173310000001,0.331675432,0.255614616,0.5240125069999999
fear,HAGEN,0.165274978,0.47783191199999997,0.406673143,0.274261451,0.613601103
disgust,SONNY,0.060049347,0.043075402,0.048920414999999995,0.042044143000000006,0.060591028000000005
surprise,SONNY,0.402968198,0.29870040000000003,0.296405303,0.18707785300000002,0.660213902
neutral,SONNY,0.0260808835,0.092823624,0.07202523799999999,0.020128502,0.060503128
anger,SONNY,0.309402827,0.511214439,0.482055436,0.29762791099999997,0.428837
sad,SONNY,0.157531554,0.216921967,0.15236556099999998,0.265490288,0.29868889000000004
happy,SONNY,0.516991534,0.6384915260000001,0.42643748400000003,0.585696363,0.39907955
fear,SONNY,0.53302261,0.43865794700000005,0.380381217,0.466084846,0.39465499000000004
disgust,DON CORLEONE,0.12417420600000001,0.219457562,0.1625703565,0.18509725350000003,0.0638503825
surprise,DON CORLEONE,0.3642337540000001,0.34100931500000004,0.7357732889999999,0.776911559,0.601596315
neutral,DON CORLEONE,0.016369049,0.154304557,0.1608651894,0.0824364224,0.046428575900000005
anger,DON CORLEONE,0.409853266,0.8912494699999999,0.6428992729999999,0.737906065,0.621009917
sad,DON CORLEONE,0.313651517,0.41209622,0.538541686,0.6062959509999998,0.566381648
happy,DON CORLEONE,1.139766211,1.1291619339999999,0.733710843,0.7996104399999999,1.304886644
fear,DON CORLEONE,0.659972257,0.746912028,0.9434578229999999,0.5838513580000001,0.9606213879999999
disgust,CLEMENZA,0.060212156,0.11225713949999999,0.021075379999999998,0.0,0.104866849
surprise,CLEMENZA,0.29532803900000004,0.14675877499999998,0.298878242,0.14031299200000003,0.178266787
neutral,CLEMENZA,0.02204516,0.068340989,0.0047619054,0.029166955,0.008928572
anger,CLEMENZA,0.21073894800000004,0.29876009800000003,0.259180706,0.16251480799999998,0.27786161200000004
sad,CLEMENZA,0.257157356,0.18966563600000003,0.27965651999999996,0.213516433,0.25496660299999996
happy,CLEMENZA,0.621155323,0.17008642899999998,0.304258278,0.34611765899999997,0.237100576
fear,CLEMENZA,0.326877066,0.22063154899999998,0.206093741,0.142012336,0.415668641
