,name,period_0,period_1,period_2,period_3,period_4
disgust,WILL,0.264457989,0.1054014255,0.2478220305,0.26059932,0.2064688205
surprise,WILL,1.168130341,1.3323901140000003,1.5868451300000002,1.725338972,1.6290817869999998
neutral,WILL,0.19352652850000002,0.137302167,0.1059653184,0.1782991474,0.215567084
anger,WILL,1.2302602950000001,0.7947169290000001,1.503748563,1.016113222,1.0105539169999997
sad,WILL,0.7233246579999999,0.636925454,0.7942657499999997,0.9152591910000001,0.8262446989999997
happy,WILL,1.5943216059999996,1.372444883,1.9708610579999999,1.654354682,1.3623202569999997
fear,WILL,0.9413701830000001,0.8443372410000001,0.543550924,1.3346847680000002,0.8267805109999999
disgust,LAMBEAU,0.10748006000000002,0.22125587900000002,0.10440683349999999,0.1696943645,0.051475741
surprise,LAMBEAU,0.7044574429999999,1.1033074209999998,0.8390110120000001,1.1680422209999997,1.15497589
neutral,LAMBEAU,0.0807880708,0.1009182719,0.08612260549999999,0.05801311099999999,0.082157882
anger,LAMBEAU,0.37349446199999997,0.6061776919999998,0.398469871,0.5876834700000001,0.849536643
sad,LAMBEAU,0.573540158,0.280584628,0.6082436769999999,0.42850163699999994,0.308437084
happy,LAMBEAU,0.41237548299999993,0.5207833390000001,0.5188284439999999,0.801170451,1.037861007
fear,LAMBEAU,0.356234793,0.557259498,0.722354528,0.7889820890000001,0.797994044
disgust,SEAN,0.266781848,0.22643995649999998,0.19850133200000003,0.1442829025,0.17502653950000002
surprise,SEAN,1.062443214,1.08021206,0.8312724589999999,1.5704973389999999,1.256795323
neutral,SEAN,0.10990307340000001,0.1219829331,0.18787059099999998,0.134972434,0.060397503000000005
anger,SEAN,0.581842144,0.9378649249999997,1.295594287,1.355853056,0.570207464
sad,SEAN,0.6019789649999999,0.8178630430000002,0.703271974,0.8404547829999999,0.7228567549999999
happy,SEAN,1.2053701859999997,0.98086637,1.189840989,1.312994614,0.7494892939999998
fear,SEAN,0.7538129729999998,0.8223119490000004,0.7627477939999999,0.844728461,0.9089015269999998
disgust,CHUCKIE,0.046724454,0.126201363,0.0480442215,0.274085521,0.073378878
surprise,CHUCKIE,0.6972019409999999,0.5680797379999999,0.37691155900000006,1.2841152529999997,0.570265344
neutral,CHUCKIE,0.06699693339999999,0.13873803699999998,0.041776550999999995,0.10792206659999998,0.15986634399999997
anger,CHUCKIE,0.5616159229999999,0.6448910999999999,0.45788965200000004,0.451734112,0.8725390759999999
sad,CHUCKIE,0.6761531759999998,0.44531083200000005,0.5040307350000001,0.308501107,0.3333303310000001
happy,CHUCKIE,0.732907459,0.6489986799999998,0.474189816,0.38468064100000005,0.6886171989999998
fear,CHUCKIE,0.524533888,0.37849217999999996,0.38510736,0.373385765,0.48009105700000004
disgust,SKYLAR,0.120896782,0.03960527950000001,0.14641483049999998,0.07564758649999999,0.03134635
surprise,SKYLAR,0.13235376,0.308660748,0.5405186399999999,0.848898584,0.742274588
neutral,SKYLAR,0.0397713609,0.043429518,0.008928572,0.007936508,0.009038453
anger,SKYLAR,0.360493018,0.212536059,0.675853589,0.36048344,0.33895917
sad,SKYLAR,0.34684104200000004,0.37309232600000003,0.4368174610000001,0.299732376,0.27997863
happy,SKYLAR,0.6346356630000001,0.41336345899999993,0.538123499,0.20398036200000003,0.763436051
fear,SKYLAR,0.12453385700000001,0.3740989619999999,0.291121917,0.308389158,0.5258412859999999
