,name,period_0,period_1,period_2,period_3,period_4
disgust,RYAN,0.1242132475,0.08646689950000001,0.21437232999999997,0.22542611549999997,0.067820099
surprise,RYAN,1.0349033790000002,0.746212698,0.8486268079999999,1.144569393,0.8659695230000002
neutral,RYAN,0.0827533644,0.20062174009999995,0.09948980099999999,0.1050300434,0.0649297884
anger,RYAN,0.740815337,1.1103766789999996,0.773796524,1.1486972940000002,0.7652750629999999
sad,RYAN,0.9960323519999998,0.9226675869999998,0.812024981,1.3852929110000003,0.620829096
happy,RYAN,1.0091441460000001,1.8266273489999998,0.9875871519999999,1.812625155,1.1139249270000002
fear,RYAN,1.0114521040000002,1.570140851,0.8771696380000003,1.6077408450000004,1.267312971
disgust,MATT,0.115387329,0.08529596199999999,0.088293657,0.11882690249999997,0.017857144
surprise,MATT,0.701379673,0.9436545959999998,0.573477005,0.785175923,0.5621760380000002
neutral,MATT,0.10227967900000001,0.1272463725,0.0780933585,0.103857391,0.1572448112
anger,MATT,0.5824368860000001,0.7560998769999999,0.8045175400000001,1.265559833,0.33837076299999996
sad,MATT,0.7297827950000002,0.652505336,0.5633436519999999,1.187503016,0.4172703380000001
happy,MATT,0.8558729089999999,1.188703217,0.945078012,1.2109386150000003,0.968875262
fear,MATT,0.579267685,1.1128399150000001,0.6898583500000001,1.328808053,1.0744341210000001
disgust,SHENZHOU ESCAPE POD.,0.023809526,0.081724079,0.0,0.0,0.0
surprise,SHENZHOU ESCAPE POD.,0.035014007,0.106913261,0.064225696,0.045876887,0.0
neutral,SHENZHOU ESCAPE POD.,0.0,0.014285715,0.0,0.0,0.0
anger,SHENZHOU ESCAPE POD.,0.03781513,0.19776307099999998,0.0,0.0,0.049583916
sad,SHENZHOU ESCAPE POD.,0.0,0.088775516,0.0,0.0,0.024079321
happy,SHENZHOU ESCAPE POD.,0.0,0.07137781900000001,0.0,0.0,0.04917038
fear,SHENZHOU ESCAPE POD.,0.029411767,0.4712449799999999,0.135906521,0.037746806,0.086615816
disgust,THE PORTHOLE-,0.0,0.0,0.0,0.0,0.023809526
surprise,THE PORTHOLE-,0.032879822,0.0,0.03033268,0.0,0.071899254
neutral,THE PORTHOLE-,0.0,0.0,0.0,0.0,0.0
anger,THE PORTHOLE-,0.0,0.0,0.026108375,0.0,0.062600457
sad,THE PORTHOLE-,0.0260771,0.0,0.06626628000000001,0.0,0.0
happy,THE PORTHOLE-,0.0,0.0,0.064282341,0.0,0.04195941
fear,THE PORTHOLE-,0.041950118,0.12953995,0.151228931,0.0,0.029411767
disgust,MISSION CONTROL,0.107142864,0.008928572,0.0,0.093949707,0.025510205
surprise,MISSION CONTROL,0.125000007,0.09875651099999999,0.0,0.071428574,0.06541365
neutral,MISSION CONTROL,0.07792208199999999,0.013690477399999998,0.0,0.013038549,0.018990930500000003
anger,MISSION CONTROL,0.09415584699999999,0.152125864,0.0,0.092824882,0.08439535000000001
sad,MISSION CONTROL,0.17045455399999998,0.045918368,0.038033396,0.13510102000000002,0.157832569
happy,MISSION CONTROL,0.08928572,0.08437439799999999,0.038912583,0.23275503200000003,0.11095199
fear,MISSION CONTROL,0.139610403,0.059098642,0.100593969,0.12211712599999999,0.19496362299999997
