,name,period_0,period_1,period_2,period_3,period_4
disgust,NICK,0.10572547800000001,0.143453797,0.08812348600000001,0.096447476,0.06988672100000001
surprise,NICK,0.170390132,0.337992677,0.275800319,0.41330641900000004,0.38673938
neutral,NICK,0.039093918,0.10922270999999999,0.054417477,0.043052061,0.043938028000000004
anger,NICK,0.345573121,0.39393139899999996,0.487379371,0.32836591699999995,0.461240484
sad,NICK,0.266278541,0.345897697,0.192844823,0.175503894,0.402139422
happy,NICK,0.489252027,0.858435477,0.3931099000000001,0.904267145,0.7720245649999998
fear,NICK,0.27373313699999996,0.408738889,0.297964631,0.497292156,0.36777382799999997
disgust,GATSBY,0.10432110400000001,0.1337647525,0.2603960355,0.145915195,0.18352468500000005
surprise,GATSBY,0.295264439,0.849133742,0.5471166420000001,0.6570296209999998,0.5454916649999999
neutral,GATSBY,0.074586928,0.11471721599999998,0.142855139,0.17400739359999998,0.1141149836
anger,GATSBY,0.5526389110000001,1.078368874,0.7856469120000001,1.283534662,0.8457355779999998
sad,GATSBY,0.287496072,0.7609055650000002,0.351480995,0.7720307909999998,0.6541514099999999
happy,GATSBY,0.777935265,1.0322182169999998,0.9818955180000001,1.4317132779999997,1.33494551
fear,GATSBY,0.442093634,0.5855582830000001,0.5695247959999999,0.7306582210000001,0.925120802
disgust,DAISY,0.1417704335,0.05311281500000001,0.039100987,0.23153058799999998,0.031122450500000003
surprise,DAISY,0.628834837,0.416011092,0.37313819899999995,0.384154861,0.6112323489999999
neutral,DAISY,0.097590433,0.020027465,0.026785715999999998,0.045177047,0.035051867
anger,DAISY,0.58030038,0.376788632,0.228998971,0.375164143,0.39719762399999997
sad,DAISY,0.29233953900000004,0.140274397,0.3102024850000001,0.320345096,0.42989044100000007
happy,DAISY,0.60504869,0.6908584239999999,1.0041706609999999,0.7788595260000001,0.7569498809999999
fear,DAISY,0.24622020700000002,0.259575338,0.42614563899999996,0.38341275999999996,0.48276857900000003
disgust,TOM,0.1356139045,0.06739853,0.0082589295,0.155058884,0.151256385
surprise,TOM,0.23870744,0.23716858400000002,0.38186004400000007,0.446577029,0.4994489590000001
neutral,TOM,0.06455008400000001,0.06406653,0.137596544,0.11103806199999999,0.1116672295
anger,TOM,0.38638019700000004,0.269330934,0.34978164,0.6127512879999999,0.51587545
sad,TOM,0.5061750810000001,0.071650905,0.5266692820000001,0.35649636,0.322630512
happy,TOM,0.3588793390000001,0.6969933709999999,0.7566057660000001,0.864185832,0.6153784570000002
fear,TOM,0.250225635,0.125152102,0.40163818300000004,0.13524455600000002,0.6089657390000001
disgust,WILSON,0.0,0.0,0.0451649,0.0,0.0
surprise,WILSON,0.15425018299999999,0.036885247,0.07175081,0.0,0.064225696
neutral,WILSON,0.020128502,0.0,0.0,0.0,0.0
anger,WILSON,0.11985425599999999,0.10925829699999999,0.137256235,0.0,0.0
sad,WILSON,0.130658381,0.0,0.049977431,0.0,0.0
happy,WILSON,0.17471789899999998,0.04195941,0.09709430499999999,0.0,0.050369952
fear,WILSON,0.028848965,0.0,0.09501067199999999,0.0,0.06118623000000001
