,name,period_0,period_1,period_2,period_3,period_4
disgust,MARY,0.081838276,0.042886896,0.087461778,0.01433121,0.106644566
surprise,MARY,0.18347043899999999,0.33509553400000003,0.318727474,0.200640309,0.40450832400000003
neutral,MARY,0.035714287,0.050515024000000006,0.0071428576,0.0089635864,0.039915969999999995
anger,MARY,0.604302134,0.289029659,0.284946687,0.533123547,0.432657754
sad,MARY,0.261501858,0.504906361,0.289703759,0.6149136989999999,0.36224722600000003
happy,MARY,0.260813445,0.716599588,0.259649043,0.342940381,0.598849604
fear,MARY,0.20812166799999998,0.23424811199999998,0.30536164800000004,0.286343281,0.529640526
disgust,HORUS,0.008760109,0.0,0.033163267499999996,0.0,0.03781513
surprise,HORUS,0.105528751,0.33843896999999995,0.24325809599999998,0.075633644,0.175743441
neutral,HORUS,0.032438118,0.0,0.022959185,0.0,0.084715689
anger,HORUS,0.225420407,0.396751524,0.283125231,0.157429523,0.38798219
sad,HORUS,0.116750136,0.181234262,0.30719779299999994,0.160914105,0.10710639300000001
happy,HORUS,0.232014612,0.275967681,0.060419018000000005,0.0483871,0.33056557000000003
fear,HORUS,0.056073041000000004,0.197482591,0.170838671,0.059922684000000004,0.10326502400000001
disgust,AARON,0.017857144,0.048760817,0.0,0.0,0.0
surprise,AARON,0.412896519,0.23133804800000002,0.119709682,0.301699431,0.157096385
neutral,AARON,0.068392078,0.0,0.072695122,0.0,0.0884484274
anger,AARON,0.295613339,0.22682581200000002,0.167272964,0.6911502529999999,0.3297928
sad,AARON,0.303715926,0.155415013,0.214820862,0.11675944600000002,0.293971199
happy,AARON,0.3497576150000001,0.215095166,0.17201704499999998,0.147118596,0.379251254
fear,AARON,0.22057012899999998,0.14755343499999998,0.090651813,0.18189260699999998,0.206817977
disgust,HANCOCK,0.0,0.13737926,0.0441880115,0.069346334,0.059523812999999995
surprise,HANCOCK,0.48396111700000005,0.419700808,0.24284087099999999,0.7059899169999999,0.297275209
neutral,HANCOCK,0.049295457,0.060385506,0.040536666,0.09320624399999998,0.099780817
anger,HANCOCK,0.390134147,0.718748403,0.34818070100000004,0.48440310999999997,0.24928711899999995
sad,HANCOCK,0.190608249,0.220289842,0.36419706500000004,0.409086712,0.14868415499999998
happy,HANCOCK,0.41849856,0.49312495100000003,0.84373425,0.7063631679999999,0.381085772
fear,HANCOCK,0.130522264,0.25088784399999997,0.398990985,0.5154831259999999,0.230981589
disgust,ROHEIM,0.032188354,0.0153061235,0.0456824555,0.12967034200000002,0.05567732449999999
surprise,ROHEIM,0.084949577,0.184980553,0.026967932,0.042857148,0.058592242
neutral,ROHEIM,0.017857144,0.0,0.0,0.0,0.050183966999999996
anger,ROHEIM,0.064625853,0.083464079,0.23856332199999997,0.111648357,0.228666342
sad,ROHEIM,0.24936278900000003,0.065967378,0.128261941,0.143859553,0.229064522
happy,ROHEIM,0.257535527,0.08026169,0.09208262,0.04917038,0.26576118
fear,ROHEIM,0.128811416,0.046583854,0.120608934,0.037142858,0.099738691
