,name,period_0,period_1,period_2,period_3,period_4
disgust,THEODORE,0.33699724100000006,0.1599410845,0.172948855,0.12283176,0.309468761
surprise,THEODORE,1.043910864,1.8757996500000003,1.971538675,1.4857611970000002,1.7405208289999998
neutral,THEODORE,0.1307232765,0.191009643,0.264504509,0.2047354635,0.0564873155
anger,THEODORE,0.692154677,1.5329975729999998,1.5688332739999997,1.439657942,1.564412816
sad,THEODORE,0.8236243049999998,1.182460981,1.4819800770000002,1.035259634,1.0242708399999998
happy,THEODORE,1.3498123979999999,2.380894102,2.323280241000001,2.0315780590000005,1.8151630740000004
fear,THEODORE,0.8405491739999998,1.5089268010000003,1.1456741190000002,1.1051941570000001,0.9272679209999998
disgust,AMY,0.0343005975,0.033079627,0.031985085,0.0,0.033030476
surprise,AMY,0.346296091,0.41765196099999996,0.8701271719999999,0.49673143000000003,0.30680819600000003
neutral,AMY,0.014990834500000001,0.070325115,0.0,0.0,0.009038453
anger,AMY,0.296892365,0.156900823,0.153909815,0.0,0.292161175
sad,AMY,0.29413225400000004,0.253302056,0.124468392,0.0,0.34406383400000007
happy,AMY,0.286361437,0.380897649,0.61512466,0.28697977,0.315714879
fear,AMY,0.39388440900000005,0.260586594,0.383237028,0.165127301,0.23916343899999998
disgust,SAMANTHA,0.21308393650000002,0.16003516299999998,0.27408588749999996,0.15356790400000003,0.131279961
surprise,SAMANTHA,1.7944708529999998,3.2644343989999993,1.31063167,1.6767153689999996,1.7808015610000005
neutral,SAMANTHA,0.18130445539999998,0.13562106899999998,0.139468172,0.1954880155,0.165027899
anger,SAMANTHA,1.109783762,0.8950400230000001,0.731516091,1.282622219,0.7805727039999999
sad,SAMANTHA,0.8025764879999999,0.6855997519999999,0.7461292379999999,1.0482266509999998,1.03276461
happy,SAMANTHA,1.714961246,0.9099715450000001,2.3766737370000004,1.8127919080000006,1.6688798960000004
fear,SAMANTHA,0.7257276049999999,0.9038979340000001,0.785761423,1.1864158880000004,0.9937107970000001
disgust,PAUL,0.032913169,0.0,0.011904763,0.0,0.0
surprise,PAUL,0.071428575,0.03170554,0.173602492,0.284342897,0.08542569
neutral,PAUL,0.043938028000000004,0.0,0.011904763,0.0,0.0
anger,PAUL,0.056791259,0.034620993,0.09855179,0.04601648,0.0
sad,PAUL,0.0,0.0,0.031664215,0.024496337,0.045454547
happy,PAUL,0.218665805,0.032434404,0.17929606999999997,0.0,0.035064936
fear,PAUL,0.0,0.0,0.033136968,0.027701467,0.0
disgust,(CONTINUED),0.0,0.0,0.0,0.0,0.0
surprise,(CONTINUED),0.0,0.0,0.0,0.0,0.0
neutral,(CONTINUED),0.0,0.0,0.0,0.0,0.0
anger,(CONTINUED),0.0,0.0,0.0,0.0,0.0
sad,(CONTINUED),0.0,0.0,0.0,0.0,0.0
happy,(CONTINUED),0.0,0.0,0.0,0.0,0.0
fear,(CONTINUED),0.0,0.0,0.0,0.0,0.0
