,name,period_0,period_1,period_2,period_3,period_4
disgust,COOPER,0.17961995100000003,0.159758352,0.039355061999999996,0.039990346499999996,0.3575267625
surprise,COOPER,1.398049543,0.7569237670000001,0.781267701,0.8723152860000001,1.544787159
neutral,COOPER,0.18959819999999994,0.173250492,0.108154795,0.048988532,0.21903950960000002
anger,COOPER,1.066781414,1.3869151039999996,0.392981371,0.833892025,1.3927349759999998
sad,COOPER,1.0711249409999997,1.2446779840000002,0.799157472,1.0640603829999997,1.4215885609999999
happy,COOPER,1.4139460709999998,1.2440315789999998,1.2294944950000002,0.9888727419999997,1.9291745430000007
fear,COOPER,1.6418643229999996,0.7880904059999999,1.2072267329999997,1.477077016,1.5029564869999998
disgust,BRAND,0.095673285,0.12423112449999998,0.1095700235,0.17988375399999998,0.187582441
surprise,BRAND,0.554060667,0.80951344,0.72703883,1.0558989489999997,0.7757345589999999
neutral,BRAND,0.14403504900000003,0.053571432999999995,0.049890409499999996,0.068562265,0.10880244559999999
anger,BRAND,0.4402437170000001,1.140659477,1.0923378339999998,1.4984786589999997,0.7217078299999999
sad,BRAND,0.6459125219999998,0.9896997619999999,0.9613386279999998,1.115892414,0.6824131109999998
happy,BRAND,0.912893097,0.932625929,1.1977233950000001,1.19927977,1.0506599639999998
fear,BRAND,1.091669946,0.957594374,1.129021005,1.2827161279999997,0.7499189599999998
disgust,DOYLE,0.030496986000000004,0.065757964,0.060228235,0.016917294,0.01433121
surprise,DOYLE,0.37955671599999996,0.622555517,0.448409935,0.084821432,0.35223381
neutral,DOYLE,0.058061126,0.061795172,0.055555556000000006,0.030055465,0.0107142869
anger,DOYLE,0.453261662,0.620319827,0.587134072,0.404716455,0.218469892
sad,DOYLE,0.250217189,0.444155328,0.617062435,0.20609927700000003,0.223044782
happy,DOYLE,0.716354159,0.683858304,0.42348935099999996,0.38207932699999997,0.517981994
fear,DOYLE,0.225996112,0.6668194310000001,0.5637435319999999,0.24773810699999999,0.24831575700000003
disgust,ROTH,0.061555678,0.0915020125,0.10528274199999998,0.089791198,0.07552355799999999
surprise,ROTH,0.5978698769999999,0.576208636,0.378506316,0.245698761,0.317198255
neutral,ROTH,0.041960228,0.055842789,0.047619050999999996,0.03549301,0.0
anger,ROTH,0.29374047100000006,0.8772612389999999,0.197954759,0.442412499,0.143324348
sad,ROTH,0.303680878,0.19921597400000002,0.4041263400000001,0.550025674,0.32577405899999995
happy,ROTH,0.654610333,0.6392412049999999,0.737353189,0.566956427,0.6870404689999999
fear,ROTH,0.259596687,0.6606283339999999,0.41398245200000006,0.33032887599999994,0.5279297430000001
disgust,MURPH,0.0,0.0,0.02747253,0.012022631,0.0
surprise,MURPH,0.088389875,0.033333335,0.038461544,0.06039828,0.063409135
neutral,MURPH,0.025623008,0.0047619054,0.005494506,0.0,0.0
anger,MURPH,0.09505056,0.09583333499999999,0.043233085,0.053230451,0.0
sad,MURPH,0.093262006,0.112316853,0.10425102,0.063218878,0.055435064
happy,MURPH,0.09950111,0.09592491700000001,0.0,0.100559962,0.063044237
fear,MURPH,0.02747253,0.14304029699999998,0.038461544,0.070966794,0.058900608
