,name,period_0,period_1,period_2,period_3,period_4
disgust,CHARLIE,0.13895803,0.0413599895,0.0902651795,0.08815442299999998,0.14391944999999998
surprise,CHARLIE,0.351960124,0.45111407900000006,0.516461503,0.6527654809999999,0.43895429999999996
neutral,CHARLIE,0.120263797,0.112960592,0.09609979299999999,0.057375369,0.14034370999999998
anger,CHARLIE,0.7496267569999999,0.40985386999999995,0.4833000799999999,0.40535960000000004,0.5776716630000001
sad,CHARLIE,0.201831605,0.4199475210000001,0.439607729,0.5444892279999999,0.7506851039999999
happy,CHARLIE,1.3170644759999999,0.550175339,0.622682488,1.1073200250000002,0.815813622
fear,CHARLIE,0.664578877,0.642313679,0.5568012080000001,0.6434706760000001,0.9651757330000001
disgust,HANDSOME ROB,0.0,0.0,0.056818895999999994,0.030003952,0.034126987
surprise,HANDSOME ROB,0.09953666900000001,0.21871103000000003,0.18591344399999998,0.22504834199999998,0.21412106300000006
neutral,HANDSOME ROB,0.0,0.011446887499999999,0.11141128,0.008928572,0.040580274
anger,HANDSOME ROB,0.0,0.123325987,0.17206955899999998,0.312384381,0.182935177
sad,HANDSOME ROB,0.025489338,0.118665027,0.06403941,0.23690440599999998,0.091936095
happy,HANDSOME ROB,0.20764877999999998,0.145937667,0.482032068,0.17889585400000002,0.068212283
fear,HANDSOME ROB,0.090223078,0.196338547,0.13954650899999999,0.26409536,0.27129363
disgust,STELLA,0.120028429,0.050698633,0.017857144,0.071727314,0.025557013
surprise,STELLA,0.33716783100000003,0.216515608,0.431075906,0.332687175,0.272609835
neutral,STELLA,0.0228388114,0.0,0.022058824999999997,0.069235647,0.020128502
anger,STELLA,0.42191276800000005,0.330714415,0.173958839,0.218538178,0.6235767969999999
sad,STELLA,0.38790378300000006,0.374607728,0.284893489,0.22966435999999998,0.19902024000000001
happy,STELLA,0.27779081499999997,0.36779695200000007,0.537356506,0.529944661,0.45882415900000006
fear,STELLA,0.283063204,0.28301711999999996,0.5620502650000001,0.280493451,0.356618812
disgust,STEVE,0.008928572,0.106653288,0.1128111645,0.035714287,0.07030128299999999
surprise,STEVE,0.078553395,0.27980486,0.27364215999999997,0.26585453200000003,0.346751808
neutral,STEVE,0.008928572,0.062419787000000004,0.021675816599999998,0.042207794,0.07754608799999999
anger,STEVE,0.179224744,0.259718193,0.290967838,0.099119201,0.204029073
sad,STEVE,0.096319584,0.26074454199999997,0.332531168,0.282609269,0.192427398
happy,STEVE,0.088082963,0.27674906499999996,0.17942671,0.24917275699999997,0.24181846999999998
fear,STEVE,0.076359279,0.42547545200000003,0.411891783,0.5502110669999999,0.42462438499999994
disgust,LYLE,0.1988109035,0.061146001,0.06583338799999999,0.033760632,0.048630247
surprise,LYLE,0.6835689070000001,0.258788989,0.37017233699999996,0.13539629,0.445647602
neutral,LYLE,0.204194443,0.028113555399999997,0.033768318,0.014285715,0.053095538
anger,LYLE,0.305813488,0.13742293,0.190957467,0.067178706,0.20923559200000003
sad,LYLE,0.47135157400000005,0.093672054,0.158055035,0.163053198,0.100333405
happy,LYLE,0.5585233100000001,0.260587285,0.35158951800000005,0.244695328,0.25040945000000003
fear,LYLE,0.293899144,0.340283042,0.294726772,0.225453966,0.557354056
