,name,period_0,period_1,period_2,period_3,period_4
disgust,LUCIEN,0.125625913,0.1852770925,0.076799147,0.125442341,0.11787624299999999
surprise,LUCIEN,0.7700302,0.769815048,0.746729486,0.41189202199999997,0.45637226200000003
neutral,LUCIEN,0.0457237414,0.1273785996,0.0485095476,0.024890407399999998,0.06704272
anger,LUCIEN,0.479935484,0.6426233660000001,0.7368991269999999,0.54335387,0.938650788
sad,LUCIEN,0.548430674,0.32862932499999997,0.251626471,0.39406177400000003,0.38418194800000005
happy,LUCIEN,0.53908091,0.631992877,1.077098357,0.585036,0.688567006
fear,LUCIEN,0.564260452,0.600722837,0.642150991,0.43407994699999997,0.5030914
disgust,ALLEN,0.060320838,0.043973217499999995,0.052929214499999995,0.089255224,0.022519353
surprise,ALLEN,0.454665803,0.297112643,0.366585003,0.252290955,0.492553474
neutral,ALLEN,0.060385506,0.043650796,0.0,0.023809526,0.030332584
anger,ALLEN,0.363694529,0.6682450809999999,0.30654476100000005,0.40778721799999995,0.262958817
sad,ALLEN,0.162481725,0.313292637,0.31102760799999996,0.22375123,0.220597933
happy,ALLEN,0.480476027,0.45251994700000003,0.45950376200000004,0.358400041,0.606369006
fear,ALLEN,0.324842039,0.372462444,0.5143533750000001,0.319975578,0.533387393
disgust,DAVID,0.1065938055,0.036481575,0.01866507,0.023809526,0.043736485000000005
surprise,DAVID,0.06884921399999999,0.494572317,0.0,0.094046793,0.098844576
neutral,DAVID,0.003968254,0.0,0.030055465,0.043938028000000004,0.036899939
anger,DAVID,0.440395933,0.165458137,0.201125451,0.581233322,0.142893575
sad,DAVID,0.09154906400000001,0.081835112,0.031664215,0.194016395,0.14132365700000002
happy,DAVID,0.309667861,0.224769345,0.125909405,0.13894337199999998,0.32912038200000004
fear,DAVID,0.122974645,0.329453153,0.095481851,0.085170234,0.295087948
disgust,BILL,0.0,0.0,0.029220782,0.0,0.046130953
surprise,BILL,0.0,0.0,0.034688015,0.086207857,0.027327936
neutral,BILL,0.0,0.0,0.017857144,0.0,0.023809526
anger,BILL,0.0,0.0,0.0,0.065700814,0.033163264
sad,BILL,0.0,0.0,0.043831173,0.066548863,0.028134637
happy,BILL,0.090148844,0.038265307,0.092252578,0.192158167,0.12246963799999999
fear,BILL,0.0,0.08418368,0.164614126,0.03917051,0.301166595
disgust,JACK,0.125000004,0.0153061235,0.033549784,0.042132985,0.113209229
surprise,JACK,0.03327922,0.0,0.059069512000000005,0.156482171,0.169926893
neutral,JACK,0.011904763,0.005102041,0.05256662,0.009038453,0.047023813
anger,JACK,0.056547621000000006,0.079200641,0.24062688,0.200290373,0.348149354
sad,JACK,0.025162337,0.0,0.08298502799999999,0.256262286,0.290610338
happy,JACK,0.05952381,0.133524144,0.190811775,0.141586361,0.270835665
fear,JACK,0.068993507,0.119716866,0.031472363,0.240326182,0.089122279
