,name,period_0,period_1,period_2,period_3,period_4
disgust,PO,0.011601902,0.0,0.0,0.0,0.0
surprise,PO,0.0,0.0,0.0,0.03426314,0.12086835600000001
neutral,PO,0.0,0.0,0.0,0.0,0.0
anger,PO,0.039278727,0.0,0.042225733,0.025395034,0.030952383
sad,PO,0.025580097,0.0,0.072217844,0.032812,0.078697483
happy,PO,0.0,0.0,0.0,0.0,0.134663873
fear,PO,0.0,0.0,0.0,0.028619802,0.126204487
disgust,SHIFU,0.0,0.0,0.0,0.009103643,0.038360513
surprise,SHIFU,0.053571433,0.03139792,0.086801246,0.0,0.0
neutral,SHIFU,0.03549301,0.009038453,0.0,0.0,0.0
anger,SHIFU,0.0,0.0,0.0,0.032446314,0.031615928
sad,SHIFU,0.037698418,0.02499662,0.0,0.0,0.094281876
happy,SHIFU,0.059568066,0.0,0.047981367,0.0,0.0
fear,SHIFU,0.0,0.04465131,0.0,0.0,0.0
disgust,COMMANDER,0.0,0.0,0.0,0.0,0.0
surprise,COMMANDER,0.04482263,0.0,0.0,0.0,0.0
neutral,COMMANDER,0.0,0.0,0.0,0.0,0.0
anger,COMMANDER,0.0,0.0,0.0,0.0,0.0
sad,COMMANDER,0.03139981,0.0,0.0,0.0,0.0
happy,COMMANDER,0.0,0.0,0.0,0.0,0.08928572
fear,COMMANDER,0.0,0.0,0.0,0.0,0.030529955
disgust,OOGWAY,0.0,0.008241759,0.0,0.0,0.0
surprise,OOGWAY,0.0,0.028159343,0.0,0.036203522,0.03170554
neutral,OOGWAY,0.0,0.0,0.0,0.0,0.0
anger,OOGWAY,0.0,0.070741757,0.0,0.0,0.034620993
sad,OOGWAY,0.0,0.07669414,0.0,0.0,0.0
happy,OOGWAY,0.0,0.0,0.0,0.04011742,0.032434404
fear,OOGWAY,0.059969444,0.067078757,0.0,0.034246575,0.0
disgust,(GASP),0.0,0.0,0.0,0.0,0.0
surprise,(GASP),0.0,0.0,0.0,0.0,0.0
neutral,(GASP),0.0,0.0,0.0,0.0,0.0
anger,(GASP),0.0,0.0,0.041353386,0.0,0.0
sad,(GASP),0.0,0.0,0.048872184,0.0,0.0
happy,(GASP),0.0,0.0,0.0,0.0,0.0
fear,(GASP),0.0,0.0,0.0,0.0,0.0
