,name,period_0,period_1,period_2,period_3,period_4
disgust,BOB,0.047619052,0.114111467,0.01433121,0.07099067299999999,0.15860156500000003
surprise,BOB,0.284072703,0.29541019500000004,0.291752468,0.38718554200000005,0.315360136
neutral,BOB,0.083112062,0.009038453,0.10647903,0.04136669,0.051366026999999995
anger,BOB,0.268684444,0.47689035300000004,0.283528394,0.15306911,0.426418661
sad,BOB,0.049496337,0.285778012,0.4173711339999999,0.47629647300000005,0.39164319200000003
happy,BOB,0.41922679999999996,0.725326405,0.736408894,0.5975515379999999,0.412296103
fear,BOB,0.20772476799999998,0.19278557200000002,0.297291592,0.47898047,0.277199993
disgust,CHARLOTTE,0.079542523,0.091507515,0.145507394,0.0,0.0272108865
surprise,CHARLOTTE,0.438631698,0.284638241,0.31973627,0.26551382,0.6933401270000001
neutral,CHARLOTTE,0.041476571000000004,0.020128502,0.020128502,0.018076906,0.0311996274
anger,CHARLOTTE,0.24889996300000003,0.31392053000000003,0.398914248,0.230539024,0.41918882
sad,CHARLOTTE,0.38075811400000004,0.382351115,0.25565978899999997,0.35142495499999993,0.434999363
happy,CHARLOTTE,0.469048324,0.41564584600000004,0.387113409,0.569409778,0.33669117200000004
fear,CHARLOTTE,0.297600834,0.19677011,0.26794707,0.278871997,0.4761061349999999
disgust,WOMAN,0.0153061235,0.0,0.0082589295,0.0,0.05363145700000001
surprise,WOMAN,0.027640942,0.0,0.027640942,0.055281884,0.0
neutral,WOMAN,0.005102041,0.0,0.0,0.0,0.004201681
anger,WOMAN,0.02435687,0.0,0.0544908,0.04871374,0.046218492
sad,WOMAN,0.040777232,0.0,0.116465875,0.081554464,0.0
happy,WOMAN,0.096938774,0.0,0.051201012,0.0,0.039285716
fear,WOMAN,0.031472363,0.0,0.092729872,0.165838041,0.176932937
disgust,KELLY,0.0,0.0153061235,0.008692366,0.022200773,0.0
surprise,KELLY,0.221843275,0.058365852,0.036315538,0.054371007,0.30151028
neutral,KELLY,0.03549301,0.009038453,0.03549301,0.082973052,0.009038453
anger,KELLY,0.02443609,0.032798834,0.02910053,0.086711684,0.029616725
sad,KELLY,0.048515411,0.06508408,0.025733527,0.035714287,0.02499662
happy,KELLY,0.17379438600000002,0.0,0.125739993,0.15278801,0.03658537
fear,KELLY,0.183280264,0.04465131,0.056964202000000005,0.0,0.07775235999999999
disgust,JOHN,0.018813778,0.051838106499999995,0.0,0.107535325,0.014769066
surprise,JOHN,0.032818533,0.15660727800000002,0.086801246,0.217990507,0.155539281
neutral,JOHN,0.0,0.0,0.020128502,0.0047619054,0.0
anger,JOHN,0.026108375,0.202181818,0.024344945,0.24681698999999999,0.074725691
sad,JOHN,0.252719007,0.15924696900000002,0.024079321,0.094165951,0.040777232
happy,JOHN,0.133351511,0.032019705,0.13143545699999998,0.206521172,0.13891307600000002
fear,JOHN,0.031034485,0.156703223,0.0,0.111305334,0.057842050000000006
