,name,period_0,period_1,period_2,period_3,period_4
disgust,KAY,0.27725616099999995,0.323485447,0.226146732,0.21209707800000002,0.38547383700000004
surprise,KAY,1.5143150070000002,1.6003131969999995,1.3173598080000002,0.8189807859999999,1.094568245
neutral,KAY,0.07549632410000001,0.2837070848,0.120563685,0.22110840140000002,0.30752671740000004
anger,KAY,1.1577305539999996,1.8077403339999993,0.6195513989999999,0.644805401,0.929484429
sad,KAY,0.6092909,1.4792142580000003,0.9392264309999998,0.9051518919999999,1.205494432
happy,KAY,0.9465571469999998,2.0466111430000007,1.063003176,1.11072669,1.6701634710000002
fear,KAY,1.0852364600000002,1.3787275719999998,1.4308226850000003,1.2475034200000001,1.265636125
disgust,JAY,0.09578137199999998,0.111883626,0.059696881,0.030147537000000002,0.048430739
surprise,JAY,0.506319383,0.7986303420000002,0.74387306,0.519036626,0.42315218
neutral,JAY,0.111605076,0.14451182699999998,0.1492887556,0.0047619054,0.069026847
anger,JAY,0.587615338,0.435884074,0.806335849,0.34915401,0.5262778220000001
sad,JAY,0.509781845,0.6236483869999999,0.8646351549999997,0.251391235,0.39080109500000004
happy,JAY,0.48764362099999997,0.81711996,0.9957162300000001,0.255675674,0.8060666329999998
fear,JAY,0.7091668470000001,0.7562830779999999,0.7608221410000001,0.418595601,0.512613119
disgust,EDWARDS,0.012045647,0.09410041799999999,0.023809526,0.037613983000000004,0.14115647
surprise,EDWARDS,0.24953853499999998,0.382980619,0.293550025,0.440862629,0.463589928
neutral,EDWARDS,0.016483518,0.12722157750000002,0.052976481,0.037985646,0.016697589
anger,EDWARDS,0.25451945800000003,0.42349400200000004,0.137999253,0.180310775,0.194495668
sad,EDWARDS,0.166241543,0.310368843,0.177780416,0.170043546,0.299821124
happy,EDWARDS,0.265998936,0.48526969600000003,0.40795617300000003,0.24727642399999997,0.6339880349999999
fear,EDWARDS,0.30536274399999996,0.692793043,0.200427356,0.184253168,0.349962685
disgust,LAUREL,0.010204082,0.018813778,0.026280327,0.1244174205,0.10715016199999998
surprise,LAUREL,0.305511843,0.20749563800000004,0.241837888,0.36788395099999993,0.541776457
neutral,LAUREL,0.100370477,0.0,0.0047619054,0.0348595866,0.036826091
anger,LAUREL,0.336586567,0.139233632,0.414737286,0.235988787,0.42985721400000004
sad,LAUREL,0.344515551,0.186708018,0.086841893,0.36528647200000003,0.313214644
happy,LAUREL,0.29429103199999995,0.327725851,0.181413895,0.394338778,0.5919658259999999
fear,LAUREL,0.16674367799999998,0.167232926,0.20741559199999998,0.261369364,0.380448918
disgust,EDGAR,0.13749624600000002,0.0,0.086217778,0.068210016,0.036118410000000004
surprise,EDGAR,0.45470536500000003,0.33250004,0.346977342,0.207274002,0.175115706
neutral,EDGAR,0.021193094,0.032438118,0.015018316799999997,0.038931625000000004,0.048531559
anger,EDGAR,0.23438946,0.158367668,0.30985793500000003,0.19000097300000002,0.05592039
sad,EDGAR,0.180922659,0.157580911,0.19491164100000002,0.13822529,0.225148126
happy,EDGAR,0.35932347899999995,0.38032802899999996,0.344155963,0.381568478,0.194205229
fear,EDGAR,0.41243866300000004,0.18323393200000002,0.284656973,0.314927829,0.15452663700000002
