,name,period_0,period_1,period_2,period_3,period_4
disgust,MOTHER SUPERIOR,0.102358208,0.096738932,0.117216638,0.10794625699999999,0.010204082
surprise,MOTHER SUPERIOR,0.134310032,0.48720205999999994,0.479688387,0.6034426869999999,0.184766632
neutral,MOTHER SUPERIOR,0.0479958595,0.0486177288,0.05435090899999999,0.03549301,0.0805393095
anger,MOTHER SUPERIOR,0.48664367799999997,0.524992933,0.4079968259999999,0.5000529610000001,0.17403597499999998
sad,MOTHER SUPERIOR,0.167464669,0.45887212600000005,0.6165271,0.360333026,0.23964036700000002
happy,MOTHER SUPERIOR,0.5414336599999999,0.413596629,0.526830111,0.547394042,0.49783846899999995
fear,MOTHER SUPERIOR,0.34469031,0.38274084900000005,0.5510892700000001,0.326642288,0.428888483
disgust,VINCE,0.019860831500000002,0.0294973995,0.080969892,0.10043745899999999,0.031016369999999998
surprise,VINCE,0.358908713,0.216082139,0.147188609,0.126376998,0.19137246400000002
neutral,VINCE,0.020128502,0.0,0.09018242739999999,0.029166955,0.008928572
anger,VINCE,0.195669154,0.21029956399999997,0.48287132600000005,0.177229729,0.117695512
sad,VINCE,0.201385332,0.231445727,0.11749588200000002,0.16522753599999998,0.125444353
happy,VINCE,0.5912880420000001,0.185480919,0.29596529399999993,0.5652743120000001,0.253489548
fear,VINCE,0.269521071,0.259047315,0.236700217,0.29545649100000004,0.168419832
disgust,MARY ROBERT,0.0256581975,0.00974026,0.049851194,0.025384223499999997,0.0
surprise,MARY ROBERT,0.13063831,0.208348259,0.041071434,0.06492554,0.153957192
neutral,MARY ROBERT,0.0,0.030055465,0.056247644,0.032438118,0.020128502
anger,MARY ROBERT,0.21234188499999998,0.0,0.17279057399999997,0.15329737799999998,0.105269799
sad,MARY ROBERT,0.116532406,0.079872455,0.049444806,0.147936079,0.0
happy,MARY ROBERT,0.105341216,0.19623584500000002,0.159700938,0.189599973,0.25347436
fear,MARY ROBERT,0.123028632,0.23705862700000002,0.060778834000000004,0.073796108,0.161057626
disgust,EDDIE,0.046611009,0.017894267999999998,0.086309529,0.0,0.07722151949999999
surprise,EDDIE,0.227176753,0.205283879,0.30279090200000003,0.327485174,0.140492866
neutral,EDDIE,0.0751919964,0.0206455966,0.07638889299999999,0.0467484224,0.061795171999999995
anger,EDDIE,0.233544001,0.15284143,0.38842392500000006,0.094686548,0.23305031
sad,EDDIE,0.211788775,0.08290514600000001,0.208865158,0.210570645,0.07705184200000001
happy,EDDIE,0.506056971,0.449799845,0.67943535,0.30120120300000003,0.34594599
fear,EDDIE,0.434230028,0.187536289,0.414827825,0.20006635399999997,0.248357905
disgust,MARY PATRICK,0.039898212,0.058163271499999995,0.0,0.0,0.0
surprise,MARY PATRICK,0.09312852,0.6654482159999999,0.18598394000000001,0.09545555400000001,0.07091363
neutral,MARY PATRICK,0.048132371,0.019387756,0.009038453,0.032438118,0.020128502
anger,MARY PATRICK,0.07364284700000001,0.029591838,0.058564095,0.154433158,0.075452219
sad,MARY PATRICK,0.14007262,0.08098488300000001,0.049432712000000004,0.17237566799999998,0.060876624
happy,MARY PATRICK,0.10966721000000001,0.26967424,0.11039489999999999,0.38031746299999997,0.212393403
fear,MARY PATRICK,0.151448878,0.084080246,0.140108252,0.093738617,0.09225760699999999
