,name,period_0,period_1,period_2,period_3,period_4
disgust,OCK,0.221931148,0.10125887349999999,0.050931576,0.163764136,0.129209757
surprise,OCK,0.627721509,0.593297584,1.2465563680000002,0.8111211799999999,0.6614149810000001
neutral,OCK,0.1421843289,0.0710936145,0.042004445,0.1079178748,0.019242534999999998
anger,OCK,0.682511119,0.7530262819999999,0.564453278,0.47292740099999997,0.834170472
sad,OCK,0.424942135,0.5563234060000001,0.6075429419999999,0.516159085,0.5811834960000001
happy,OCK,0.6577787,0.9641239669999999,1.1158226080000002,0.391000033,0.8090797769999999
fear,OCK,0.860461385,0.6262049689999999,0.647984128,0.8258372159999998,0.9109158980000001
disgust,PETER,0.093244805,0.1344864585,0.01433121,0.066250951,0.011904763
surprise,PETER,0.36035575599999997,0.185635032,0.398556189,0.6891748129999999,0.41586369300000003
neutral,PETER,0.15343085699999998,0.138736319,0.178401952,0.034661461,0.058655274
anger,PETER,0.529524737,0.441599037,0.24713840499999998,0.352187417,0.25875551
sad,PETER,0.344923212,0.255578522,0.337889802,0.23036458599999998,0.306069232
happy,PETER,0.501414146,0.753811666,0.6466269979999999,0.463568365,0.546382471
fear,PETER,0.42751574400000003,0.4341913129999999,0.277920665,0.506533358,0.392656812
disgust,LIZ,0.008692366,0.052201183,0.014769066,0.03779238,0.053038433
surprise,LIZ,0.439347757,0.5907923420000001,0.21130662200000003,0.249763685,0.218501738
neutral,LIZ,0.0481914234,0.032438118,0.009038453,0.15702043100000002,0.020128502
anger,LIZ,0.354849709,0.24887775899999998,0.16734128399999998,0.226914322,0.48847525099999994
sad,LIZ,0.259671753,0.274754225,0.119077215,0.219631679,0.248625817
happy,LIZ,0.467980897,0.625180534,0.154931128,0.518372351,0.541899447
fear,LIZ,0.440582635,0.323718943,0.310505788,0.20523151499999998,0.307423333
disgust,SPIDER-MAN,0.10715951399999998,0.0130308885,0.085016219,0.008928572,0.0
surprise,SPIDER-MAN,0.408757258,0.28409398999999996,0.22008189700000003,0.5244648910000002,0.278719328
neutral,SPIDER-MAN,0.079652316,0.0395809756,0.044479152999999994,0.038984037,0.075750014
anger,SPIDER-MAN,0.613317008,0.337165618,0.27871915599999997,0.37444383400000003,0.478996371
sad,SPIDER-MAN,0.575485086,0.394058159,0.462747788,0.5916802329999999,0.31829508200000006
happy,SPIDER-MAN,0.481060543,0.482677473,0.478247904,0.695347398,0.5669820489999998
fear,SPIDER-MAN,1.110047148,0.200988141,0.277112095,0.39990376699999997,0.694851884
disgust,WEINER,0.0,0.033549786,0.0,0.0,0.024025974999999998
surprise,WEINER,0.034161493,0.171852994,0.242254748,0.03033268,0.167376635
neutral,WEINER,0.0436935304,0.065286097,0.0,0.006493507,0.0
anger,WEINER,0.155431555,0.033163264,0.0,0.0,0.159091772
sad,WEINER,0.059006214,0.17326502,0.050952382,0.034246575,0.254017458
happy,WEINER,0.174004451,0.154928599,0.151599472,0.09464508199999999,0.09444216
fear,WEINER,0.10129870799999999,0.44569821099999996,0.07285714,0.08877424,0.258731969
