,name,period_0,period_1,period_2,period_3,period_4
disgust,HAN,0.040051023,0.017857144,0.090253026,0.071494713,0.0691258545
surprise,HAN,0.6225417780000001,0.4506649689999999,0.6327697109999999,0.29313464300000003,0.36154205300000003
neutral,HAN,0.1485083244,0.029112556399999996,0.09609979299999999,0.1271697255,0.19985746599999998
anger,HAN,0.495904006,0.39881716599999995,0.353206379,0.517150004,0.608517769
sad,HAN,0.4916914140000001,0.381155656,0.36009404200000006,0.24078480800000002,0.5239581560000002
happy,HAN,1.1203708430000001,0.850158851,0.838707047,1.031667432,0.9579792439999998
fear,HAN,0.843998947,0.6785880630000001,0.580255488,0.438343141,0.7724475590000001
disgust,LUKE,0.16836603500000002,0.048363095,0.10859239499999998,0.1499275735,0.0875527775
surprise,LUKE,0.318920487,0.407498978,0.7441506070000002,0.8227620569999997,0.450222324
neutral,LUKE,0.0688309784,0.0138003584,0.0684874004,0.1169373718,0.029092088399999997
anger,LUKE,0.48310311699999997,0.322243657,0.350461566,0.7892405449999998,1.0563973989999997
sad,LUKE,0.13835513700000002,0.5359671530000001,0.32181448199999996,0.468924758,0.6075784329999999
happy,LUKE,0.812796343,0.8573321430000002,0.568777455,0.979722251,1.1389422829999996
fear,LUKE,0.669470301,0.7883574260000001,0.7277381580000001,0.767947127,0.8559811020000001
disgust,THREEPIO,0.108977154,0.28151091100000003,0.1215975375,0.042008452,0.13432874
surprise,THREEPIO,0.596102859,0.787235854,0.39902163599999996,0.629348697,0.546459057
neutral,THREEPIO,0.1354078954,0.138126168,0.114454319,0.0704339384,0.09061957600000001
anger,THREEPIO,0.637350681,0.474722982,0.6837192759999999,0.29301885699999997,0.491905695
sad,THREEPIO,0.47352202900000007,0.7713415819999999,0.462323954,0.3913872810000001,0.461369916
happy,THREEPIO,0.765208283,0.8180294219999998,1.1674948969999999,0.864238036,0.9291089700000001
fear,THREEPIO,0.21664348099999997,0.948729051,0.807463607,0.710323744,0.8245213089999999
disgust,EMPEROR,0.0,0.018170428,0.09010601500000001,0.0264293575,0.058897247
surprise,EMPEROR,0.31458466300000004,0.161727861,0.263308781,0.124128179,0.190357267
neutral,EMPEROR,0.030055465,0.0414453915,0.010204082,0.0,0.054761909600000006
anger,EMPEROR,0.181365636,0.20755788599999997,0.31462761100000003,0.246000832,0.198163638
sad,EMPEROR,0.053711117,0.14092221200000002,0.29844674,0.22876144899999998,0.43455505899999997
happy,EMPEROR,0.338410286,0.363209305,0.467832978,0.46619140400000003,0.3936125469999999
fear,EMPEROR,0.29308729499999997,0.474069584,0.459577413,0.23772499,0.51330709
disgust,VADER,0.011479593,0.030023394,0.035714287,0.010204082,0.0
surprise,VADER,0.068021078,0.210375063,0.160676198,0.21747451,0.036885247
neutral,VADER,0.0,0.0,0.035714287,0.049297999999999995,0.0
anger,VADER,0.18477111799999998,0.115826316,0.23796737599999998,0.049583916,0.156162883
sad,VADER,0.051120792,0.040500738,0.16654594,0.02499662,0.062500003
happy,VADER,0.308775924,0.372167122,0.274763823,0.21492280700000002,0.160781746
fear,VADER,0.124758906,0.09767888899999999,0.131208665,0.420583936,0.281850018
