,name,period_0,period_1,period_2,period_3,period_4
disgust,SARAH,0.12607994150000001,0.09932114200000002,0.13615325350000002,0.1102913385,0.119483407
surprise,SARAH,0.5325064610000001,0.8522734920000002,0.28891202800000004,0.6293999180000001,0.8243120649999999
neutral,SARAH,0.0569765765,0.06436896889999999,0.11460146399999999,0.13901182199999998,0.055450849999999996
anger,SARAH,0.3947530370000001,0.690379103,0.5583722180000001,0.755888383,0.8017999329999999
sad,SARAH,0.8587293469999999,0.7259039690000001,0.6322555359999998,0.7678531969999999,0.683993632
happy,SARAH,0.9989380149999998,0.814789132,0.6031620400000001,1.286975111,1.0616850970000002
fear,SARAH,0.6106461529999999,1.422260835,0.566975097,0.582086304,1.015500585
disgust,REESE,0.118890838,0.28669397849999995,0.485262331,0.08569856149999999,0.1670017865
surprise,REESE,0.39306251200000003,0.24284431700000003,1.6886749159999999,0.42444501600000006,0.39953609200000006
neutral,REESE,0.0395792758,0.091387009,0.3082237646,0.09745643699999999,0.07977022360000001
anger,REESE,0.59737223,0.38249350600000004,0.592524966,0.500325299,0.4256433520000001
sad,REESE,0.34147132,0.211517082,0.520441197,0.306155658,0.544084663
happy,REESE,0.644729666,0.5919365369999999,0.6414897390000001,0.7761065410000002,0.8141341429999999
fear,REESE,0.8258939550000001,0.733948806,0.7251668480000001,0.7917727539999999,0.47199196099999996
disgust,VUKOVICH,0.0,0.0,0.0,0.0153061235,0.0
surprise,VUKOVICH,0.05811046,0.0,0.037500005,0.091193628,0.0578056
neutral,VUKOVICH,0.003968254,0.0,0.0,0.020128502,0.032438118
anger,VUKOVICH,0.0,0.0,0.09642857299999999,0.057143779,0.148557044
sad,VUKOVICH,0.034246575,0.0,0.057142861,0.04008746,0.139634892
happy,VUKOVICH,0.087790824,0.0,0.15595239,0.095897672,0.232021061
fear,VUKOVICH,0.066046967,0.0,0.030529955,0.060821278000000006,0.155747988
disgust,TERMINATOR,0.032808978,0.0,0.0,0.011363638,0.0
surprise,TERMINATOR,0.06814014800000001,0.030691966,0.036315538,0.0,0.032627866
neutral,TERMINATOR,0.0,0.0,0.0,0.0,0.0
anger,TERMINATOR,0.06612447199999999,0.0,0.0,0.0,0.1277113
sad,TERMINATOR,0.11027961,0.0,0.025733527,0.043831173,0.0
happy,TERMINATOR,0.08019491200000001,0.03404018,0.031024532,0.06331169,0.036155205
fear,TERMINATOR,0.02861953,0.03292411,0.02861953,0.0,0.133757515
disgust,GINGER,0.031265001,0.0,0.010489511,0.05,0.01739332
surprise,GINGER,0.14507662600000001,0.045454547,0.064177748,0.036315538,0.02786221
neutral,GINGER,0.0,0.0,0.0,0.0071428576,0.0
anger,GINGER,0.08196101,0.09696969999999999,0.083497798,0.0,0.09775441900000001
sad,GINGER,0.049812848,0.059540466,0.199456495,0.025733527,0.069414902
happy,GINGER,0.198823956,0.02813853,0.152185846,0.066738819,0.07641466
fear,GINGER,0.056247564,0.059969444,0.15588303,0.07861953,0.061740126
