,name,period_0,period_1,period_2,period_3,period_4
disgust,LOKI,0.24642569800000003,0.10517812300000001,0.159938244,0.15659358299999998,0.12468336599999999
surprise,LOKI,0.543447322,0.414803064,0.5632830999999999,0.7312071309999999,0.7334222130000001
neutral,LOKI,0.008403362,0.0071428576,0.07269133259999999,0.029761906999999997,0.0334591328
anger,LOKI,0.9047525420000001,0.510529499,0.6633633750000001,0.564821805,0.7378894819999998
sad,LOKI,0.34752473,0.49776787499999997,0.329931293,0.4870302190000001,0.6068647639999999
happy,LOKI,0.9663759410000001,0.7632165059999999,0.920949515,0.819050916,0.9609348250000003
fear,LOKI,0.53491282,1.1225279209999997,0.667346073,1.17496027,0.96296119
disgust,THOR,0.347230702,0.239773819,0.11443108999999999,0.15696041299999997,0.146793658
surprise,THOR,0.686693663,0.9413028089999999,0.932500429,0.5811303180000001,0.406384132
neutral,THOR,0.156662997,0.050120052,0.012605043,0.0244955464,0.050578708
anger,THOR,1.0230062759999998,1.214611239,0.5960467420000001,1.0265874279999998,1.3646732249999998
sad,THOR,0.7172271619999998,0.7232585749999998,0.44939904900000005,0.837179197,0.9713131629999997
happy,THOR,1.3205949500000003,1.2625993670000002,0.7897757739999998,0.717340332,1.0694173520000005
fear,THOR,0.8854430779999998,1.1305332109999997,0.8070220140000001,1.3867096400000005,1.3652199870000001
disgust,VOLSTAGG,0.125355489,0.06949084999999999,0.127610171,0.093653308,0.04486585
surprise,VOLSTAGG,0.4328948620000001,0.32550206300000006,0.089163176,0.262045367,0.299152297
neutral,VOLSTAGG,0.016106444,0.013038549,0.030055465,0.018734639999999997,0.044531463
anger,VOLSTAGG,0.493263919,0.6570531199999999,0.18654438600000003,0.41817110199999996,0.10231693900000001
sad,VOLSTAGG,0.38068122000000004,0.39916481299999995,0.324030077,0.398006013,0.092198157
happy,VOLSTAGG,0.488058195,0.4804031200000001,0.206085872,0.328919755,0.323402819
fear,VOLSTAGG,0.687952254,0.583967264,0.324727227,0.325662886,0.164210129
disgust,JANE,0.10534120250000001,0.018813778,0.10410068150000001,0.106940216,0.09285609950000001
surprise,JANE,0.6920176939999999,0.392232291,0.455805284,0.3503397669999999,0.6151873990000001
neutral,JANE,0.11654082799999999,0.032033264,0.024096756,0.06109261,0.0047619054
anger,JANE,0.322463286,0.22685813999999999,0.42463571600000005,0.535333797,0.5079610800000001
sad,JANE,0.33569509399999997,0.423125341,0.309794287,0.6446722339999998,0.7060668789999999
happy,JANE,0.7300334420000001,0.725431568,0.6439020510000001,0.455186824,0.6992958940000001
fear,JANE,0.424007523,0.27608170099999996,0.33354856199999994,0.7071671099999999,0.729222247
disgust,SIF,0.031216934,0.07248231399999999,0.031468533,0.072110506,0.081149369
surprise,SIF,0.186460931,0.224605854,0.034688015,0.21707347500000002,0.34351583399999996
neutral,SIF,0.024592787999999997,0.0,0.0,0.009303722,0.0095238108
anger,SIF,0.153202798,0.114782484,0.107267736,0.35767105400000004,0.320512035
sad,SIF,0.133093512,0.077659478,0.024079321,0.09772102199999999,0.203644347
happy,SIF,0.183933668,0.164365489,0.23258180099999998,0.18872638,0.274139099
fear,SIF,0.318040143,0.187799423,0.14001372499999998,0.6969560069999999,0.33808512
