,name,period_0,period_1,period_2,period_3,period_4
disgust,ROSE,0.23695721300000003,0.17456548549999998,0.24934490150000002,0.22686519600000002,0.1314875205
surprise,ROSE,0.9718120489999997,0.83460761,0.8296336950000002,1.138005647,0.9768242739999999
neutral,ROSE,0.0939544068,0.17986533300000002,0.0901247506,0.0195144736,0.081182601
anger,ROSE,1.2787566430000004,0.608033479,0.684349179,1.072525226,1.131757319
sad,ROSE,0.9940391660000002,0.6814451899999999,0.8773600959999999,0.9371393010000001,1.291555541
happy,ROSE,1.9717277249999998,1.6515781249999997,1.9026026520000001,1.075083414,2.0574939830000005
fear,ROSE,1.020698876,0.7924545590000001,1.7333766939999997,1.2532613870000002,1.337795575
disgust,JACK,0.2227918775,0.2757990035,0.22527482799999998,0.22722830700000002,0.1448047825
surprise,JACK,1.2909840279999998,1.3583764729999999,0.947607973,0.7574417959999998,0.819661503
neutral,JACK,0.2071704298,0.25724751399999995,0.138148716,0.125170795,0.09655931
anger,JACK,1.1833470409999998,1.149290857,0.889750652,1.0475639799999998,0.918599331
sad,JACK,1.235915677,1.046624236,0.605872878,0.7481873920000001,0.920731691
happy,JACK,1.8489208150000003,1.576306152,1.185037791,1.8064798040000005,1.419127749
fear,JACK,1.385578615,1.1399807550000003,1.3089412819999997,1.3281617609999996,1.6028830029999996
disgust,CAL,0.12525809599999999,0.12741783399999998,0.065360058,0.14642162400000003,0.15564519000000002
surprise,CAL,0.37491598,0.42307417399999997,0.48681500899999997,0.42779800000000007,0.482918829
neutral,CAL,0.16037499379999998,0.019242534999999998,0.083363003,0.037200023400000004,0.0533733055
anger,CAL,0.6470001860000001,0.3904935070000001,0.27835276800000003,0.39647731899999994,0.474146515
sad,CAL,0.28283252299999995,0.431924073,0.472773755,0.34883880399999995,0.29739748400000005
happy,CAL,1.116605349,0.622049755,0.814402113,0.701740379,0.740275979
fear,CAL,0.36910825399999997,0.368015359,0.472939336,1.092083082,0.5435096099999999
disgust,LOVETT,0.021103898000000003,0.14226570300000002,0.08733154099999998,0.038223939,0.061989799
surprise,LOVETT,0.32890009700000006,0.448849843,0.24354179399999998,0.300902345,0.22209422299999998
neutral,LOVETT,0.0414453915,0.083669114,0.08826761899999999,0.068089655,0.051785716999999995
anger,LOVETT,0.24193163700000003,0.36238386499999997,0.15591117599999998,0.142669161,0.216642682
sad,LOVETT,0.33241713500000003,0.36575811500000005,0.434363142,0.274197297,0.47133946600000004
happy,LOVETT,0.5292292719999999,1.0176361810000003,0.5850378759999999,0.404222545,0.582249611
fear,LOVETT,0.252164613,0.422882822,0.42556894700000003,0.310811791,0.36729273900000003
disgust,CUT TO:,0.0,0.0,0.0,0.0,0.0
surprise,CUT TO:,0.0,0.04407295,0.0,0.0,0.0
neutral,CUT TO:,0.0,0.0,0.0,0.0,0.0
anger,CUT TO:,0.0,0.0,0.0,0.0,0.0
sad,CUT TO:,0.0,0.0,0.0,0.0,0.0
happy,CUT TO:,0.0,0.07446809,0.0,0.0,0.0
fear,CUT TO:,0.0,0.12331082,0.0,0.0,0.0
