,name,period_0,period_1,period_2,period_3,period_4
disgust,BUZZ,0.12351995199999999,0.108077155,0.023809526,0.06643629,0.08083191
surprise,BUZZ,0.742472464,0.7675550300000001,0.9084725539999999,0.5202763180000001,0.490112386
neutral,BUZZ,0.10102677499999999,0.110389753,0.0580616564,0.036043931,0.074597898
anger,BUZZ,0.6826488599999998,0.7238257469999999,0.23707417,0.253575693,0.308765145
sad,BUZZ,0.569703183,0.5546387869999999,0.545206778,0.43242522499999997,0.45788444500000003
happy,BUZZ,0.8213930199999998,0.990755276,0.7615611839999998,0.451839562,0.6900767099999999
fear,BUZZ,0.8247937929999998,0.71803058,0.892801559,0.582067913,0.8571110279999998
disgust,WOODY,0.48501385000000014,0.27607568199999993,0.202088607,0.21984972699999994,0.30918394150000006
surprise,WOODY,2.0357439369999994,1.5296879990000003,1.1146724319999999,1.3299185709999997,1.7197517289999995
neutral,WOODY,0.286586958,0.22299821099999995,0.22211850149999998,0.23322524299999992,0.33816881640000007
anger,WOODY,1.655410701,0.9044721450000002,1.1222190199999997,1.2259444200000003,0.6894000969999998
sad,WOODY,1.2320448089999998,0.939570716,1.0257149719999998,0.685641603,0.742779955
happy,WOODY,2.5620541180000003,2.183578603,1.3325097560000003,1.6845351819999999,1.639807213
fear,WOODY,1.9584625269999991,1.9058867579999998,1.57807652,1.4575571159999998,2.0993434659999997
disgust,REX,0.05528521199999999,0.0412134765,0.11098526499999999,0.026321892,0.038099513
surprise,REX,0.0,0.299227305,0.15357144,0.165770234,0.127747264
neutral,REX,0.0,0.008928572,0.0250000016,0.029057074,0.023351649999999998
anger,REX,0.12128623699999999,0.202392965,0.02910053,0.059827322,0.35888811800000003
sad,REX,0.0,0.188071275,0.114992157,0.0,0.101491849
happy,REX,0.10298078,0.192068779,0.204156228,0.12855551,0.125
fear,REX,0.026838547,0.513953481,0.212371215,0.04464286,0.217547437
disgust,ANDY,0.031216934,0.008928572,0.0,0.017857144,0.036525976
surprise,ANDY,0.07167225199999999,0.11356102900000001,0.12159902,0.263111656,0.304717373
neutral,ANDY,0.0,0.008928572,0.0,0.022619049399999997,0.026785715999999998
anger,ANDY,0.19573033799999998,0.06899973,0.049142197,0.268540474,0.183423055
sad,ANDY,0.040777232,0.067387878,0.146347241,0.17298417,0.175031753
happy,ANDY,0.088994292,0.11329889700000001,0.137703264,0.13605282000000002,0.486278154
fear,ANDY,0.157056117,0.12338413000000001,0.06298497,0.21117533500000002,0.24068063
disgust,MR. POTATO HEAD,0.06662088,0.008928572,0.008928572,0.0,0.026785715999999998
surprise,MR. POTATO HEAD,0.213006517,0.134586543,0.14071666900000002,0.0,0.200031066
neutral,MR. POTATO HEAD,0.016865079999999998,0.008928572,0.029057074,0.05256662,0.06471834
anger,MR. POTATO HEAD,0.16718998899999998,0.081120134,0.133747915,0.024344945,0.108858143
sad,MR. POTATO HEAD,0.189108873,0.064831705,0.078277232,0.0,0.278327525
happy,MR. POTATO HEAD,0.15262788300000002,0.127164189,0.26843278000000004,0.130106995,0.270178558
fear,MR. POTATO HEAD,0.269457318,0.170581547,0.13949391,0.062146258,0.290466359
