,name,period_0,period_1,period_2,period_3,period_4
disgust,DAVID,0.240145515,0.205944607,0.232964729,0.090134261,0.0815466585
surprise,DAVID,1.1088248090000001,1.118504756,0.9449706259999997,0.772758124,1.236368153
neutral,DAVID,0.21442489539999998,0.16132997500000001,0.25131620409999994,0.053497138,0.0502979094
anger,DAVID,1.3581671459999995,1.155279496,1.012551517,0.9800871430000001,0.808885559
sad,DAVID,1.1570958050000004,0.776812291,0.915366244,0.5594804019999999,0.6954965630000001
happy,DAVID,1.7107884160000004,1.824961305,1.503616627,1.1401772680000002,1.2930450070000001
fear,DAVID,1.177941663,0.8089322680000001,1.327272286,0.9564699390000002,1.3162762940000001
disgust,SOFIA,0.09314805200000001,0.1516966225,0.0836016675,0.042513652,0.028664778000000002
surprise,SOFIA,0.817219892,0.354823566,0.5210069350000001,0.450876371,0.34032171699999997
neutral,SOFIA,0.0231601754,0.045403229,0.12743321,0.061605073,0.0
anger,SOFIA,0.362376315,0.4433146139999999,0.3491263539999999,0.43087081,0.46550207600000004
sad,SOFIA,0.256456018,0.250244978,0.4437932030000001,0.4180700169999999,0.23037712700000001
happy,SOFIA,0.7586490260000001,0.8379865299999999,0.855480428,0.722754231,1.1178636380000002
fear,SOFIA,0.41850864900000007,0.15658255599999998,0.541986394,0.700414393,0.399125301
disgust,BRIAN,0.008760109,0.1066885625,0.04797987100000001,0.0318446665,0.08589860699999999
surprise,BRIAN,0.227385435,0.3544952029999999,0.33870712099999994,0.39975176200000007,0.37915416
neutral,BRIAN,0.026622009,0.032438118,0.044421582,0.047243861000000005,0.039694691
anger,BRIAN,0.42118823299999997,0.30050157099999997,0.5416467399999999,0.46221518800000005,0.45525495700000007
sad,BRIAN,0.16420785599999999,0.396370656,0.277253799,0.402241418,0.235864199
happy,BRIAN,0.6092192439999999,0.7475086679999999,0.599530947,0.6426731330000001,0.37952828200000005
fear,BRIAN,0.4961497470000001,0.29439068199999996,0.200327163,0.4435743080000001,0.4543260450000001
disgust,JULIANNA,0.012022631,0.07518226099999999,0.019819312,0.017857144,0.0
surprise,JULIANNA,0.16877714,0.181449898,0.120508577,0.11970900300000001,0.164031863
neutral,JULIANNA,0.009038453,0.017967024999999998,0.020128502,0.017857144,0.0047619054
anger,JULIANNA,0.266684967,0.25149933,0.21499625500000002,0.053571433,0.437375741
sad,JULIANNA,0.213798659,0.318747407,0.189370153,0.169127004,0.07977810799999999
happy,JULIANNA,0.42031588000000003,0.14689807100000002,0.26245077099999997,0.073677253,0.269052797
fear,JULIANNA,0.187120432,0.265134094,0.0,0.03642857,0.0867204
disgust,TIPP,0.0494617755,0.01845419,0.009821429,0.0,0.06821617899999999
surprise,TIPP,0.03456221,0.027093597,0.06286050700000001,0.11662209500000001,0.200933972
neutral,TIPP,0.023809526,0.032438118,0.084788467,0.025623008,0.071207297
anger,TIPP,0.10884939199999999,0.027363185,0.20822913200000004,0.161995104,0.217488724
sad,TIPP,0.088026619,0.099393247,0.283960743,0.212529962,0.06773399199999999
happy,TIPP,0.29060149,0.177628025,0.393306268,0.28356945299999997,0.272066298
fear,TIPP,0.22227586699999996,0.133174393,0.27265459599999997,0.095264248,0.290190742
