FROZEN | Written by Adam Green January 28, 2009
EXT. MOUNT HOLLISTON - DAY                                    1 | Peace. Fresh snow glistens in the sunlight and reflects off of the giant pine trees covering the serene mountain side. It's quiet. So quiet.
HARD CUT TO: | 
FROZEN | 
HARD CUT TO: | 
2   EXT. THE CHAIR LIFT - DAY                                     2 | Tight on a gloved hand as a lever is released. Tight on the cables at the top of a rickety chair lift as they kick into motion. Wider as an empty chair swivels around and beneath the asses of a threesome of SKIERS. Even wider to reveal a long line of Skiers and SNOWBOARDERS awaiting their moment to step up to the chair. The camera finds a group of three standing off to the side of the line, decked out in their winter gear.
3   EXT. SNOW BANK OVERLOOKING THE CHAIR LIFT - CONTINUOUS        3 | Angle on DAN WALKER (college age, shaggy hair, holding a snowboard and a helmet in one hand) as he studies the situation. Next to him stands an impatient JOE LYNCH (college age, goggles on his head and a face full of fresh stubble, standing on skis).
LYNCH | I don't see her.
DAN | The shift change is late. Just wait. PARKER O'NEIL (college age, red hair, holding a snowboard) sighs and stares back at the lift lane.
2. | 
PARKER | Are you sure about this?
DAN | We've been doing this forever. Trust me. This lady loves Lynch. She always goes for it.Lynch smiles at Parker.
LYNCH | I'm cute.Just then, JASON (a ski mountain employee) approaches thefront of the line and excuses the employee working the chair.
PARKER | Is um... is that her?
DAN | Shit.
LYNCH | Dude.
DAN | It's cool, it's cool. (to Parker) Look, all you have to do is smile real pretty and tell him-
PARKER | -What? Me? No way. This is your thing.
DAN | Parker, listen, listen. It's so easy. All you do is tell the guy that you and your friends-
LYNCH | -GIRLfriends. Say "girlfriends".
DAN | -you and your girlfriends forgot your credit card and you can't pick up your lift tickets.He grabs a wad of cash out of Lynch's glove and shoves it inParker's hand.
3. | DAN (cont'd) Start at $50. That's what we usually give the other lady. He'll take it. Trust me.
PARKER | Dan, no. You do it. I feel stupid.
DAN | You've got this. You can totally do this.
LYNCH | Parker, you've so got this.
DAN | The worst thing that happens is he says no. He won't say no. No one ever says no.
PARKER | Why me?
LYNCH | `Cause you're a girl.
DAN | A very beautiful girl with a very charming smile. (then) Just... He unzips her jacket a little bit, showing some more of her body. DAN (cont'd) There.
PARKER | My charming smile? Dan and Lynch smile back at her. She exits reluctantly towards the lift line.
4   EXT. CHAIR LIFT LINE - CONTINUOUS                                4 | Parker pushes her snowboard forward and moves up the side of the line, passing all of the skiers who are waiting. She approaches Jason who is now running the lift. He lights a cigarette.
4. | 
PARKER | Hey.Jason looks up at her. PARKER (cont'd) Could I bum a smoke?She flashes an adorable but forced smile and he quicklyobliges with a cigarette. PARKER (cont'd) Thanks.He lights her cigarette. PARKER (cont'd) I'm Parker.He looks around, not all that sure why a cute girl is talkingto him for more than just to get a smoke.
JASON | Jason.
PARKER | Oh, cool. My brother's name is Jason.
PARKER | Yeah, so I don't want to waste your time and bullshit you cause you seem like a wicked busy guy and everything...but..this is gonna sound so stupid...Jason is all ears. PARKER (cont'd) My girlfriends and I drove all the way up here from Salem State, and I was sort of the dumbass who told everyone that I could cover the lift tickets on my Mom's credit card...but then I left her credit card at the gas station...and so...Jason totally sees where this is going.
5. | 
JASON | Right.
PARKER | No- but I mean, we totally have some cash and stuff. We just don't have enough to cover all 3 lift tickets, you know? Jason exhales two lungs full of smoke as the next group gets onto the lift.
JASON | How much?
PARKER | Like...fifty? Jason scoffs and starts the lift.
JASON | I could lose my job. He looks around.
5   EXT. SNOW BANK OVERLOOKING THE CHAIR LIFT - CONTINUOUS        5 | Lynch and Dan watch Parker at work.
LYNCH | He's not going for it.
DAN | Will you shut up? He's gonna go for it. It's either stand there and do the job for minimal... minimal, what is it?
LYNCH | Minimum.
DAN | -Minimum wage or do it for minimum wage plus a little bit more. Lynch sighs, then changes the subject.
LYNCH | She had to come skiing with us? Dan looks back at him, offended.
6. | 
DAN | You said you didn't mind?
LYNCH | I don't. I don't mind. Don't mind at all.
X | A beat. LYNCH (cont'd) I'm just saying, you haven't done dollar pitchers at Fezziwigs with
R | us since last semester. You never come around for Monday night football, nobody has seen you at-
DAN | 
A | -I watched the game with you last week!
LYNCH | For ten minutes, Dan. Football games are more than ten minutes.
M | They're lots of ten minutes-es, you know?
DAN | Dude, I have a girlfriend now. I love this girl. I don't know what you...
LYNCH | It's not a problem. It's not. Forget I ever said anything.They see Parker hand Jason something. He pockets it and sheglides her way back to the end of the line.She looks up at the guys waiting on the hill and thenexcitedly waves. Proud of herself.
7. | Dan smiles at Lynch.
6   EXT. CHAIR LIFT LINE - CONTINUOUS                             6 | Lynch and Dan join Parker and slowly work their way up the line.
LYNCH | You did great.
PARKER | There isn't any.
PARKER | He wasn't going for it at 50.
DAN | 
D | So what happened to the other fifty numbers in between there? Like, I don't know, $51 or maybe even $75?
PARKER | 
E | You gave me two 50's. What was I supposed to do, ask for change?
LYNCH | I would have asked for change.
PARKER | It's still way cheaper than paying for tickets, right? Dan is disappointed.
LYNCH | I would have definitely asked him for change.
8. | They get up to the front of the line. Jason looks at Dan and Lynch behind Parker.
JASON | (scoffs at Parker) "Girlfriends"?
X | Parker gives him an apologetic smile. The three get in front of the chair. It descends under them and scoops them off of the ground into the air.
DAN | I'm just not a `pet name' guy.
PARKER | Yeah but you're supposed to call me something affectionate, you know? Like "honey" or "sweetie".
LYNCH | I hooked up with a girl last semester that called me by my last name in bed. It was so weird. "Oh, Lynch! Your hair is so soft! Do me harder, Lynch!" It was like I was throwing it to Dan over here. Dan looks back to Parker.
9. | 
DAN | See? At least I don't call you "O'Neil".
PARKER | You don't touch my face enough either.
X | Dan laughs.
LYNCH | (to no one imparticular)
R | Third wheel.Parker reaches across and playfully taps Lynch.
PARKER | 
A | Watch it, Lynch.
LYNCH | Hey, that's not fair. I'm not dating you, you don't get to make my life suck.
M | Parker shoots Dan a look: "Oh, really?"
DAN | Wha-? I never said that. I never said you make my life suck. (then, forced) Sweetie.
D | After a beat he awkwardly reaches out and touches her face.Nothing sweet or sensitive about it, but he's trying.
PARKER | 
E | (sarcastically) Aww!
LYNCH | (to Parker) Dan tells me you're getting the hang of that board?
PARKER | I wouldn't say that. But last time we went I did pretty good, right?
DAN | You did awesome. I'm telling you, the first few times are frustrating but once you get the hang of it, it's like riding a bike.
LYNCH | Please. Snowboards are too EMO for me. Give it ten more years and that fad will be dead.
LYNCH | 
E | Have you ever sniffed your floss? It's nasty.Dan and Lynch both crack up at this, huge.
DAN | No, I have never- why would I ever sniff my floss? Why am I friends with you?Parker blows more smoke out. DAN (cont'd) Gimme a drag.He takes her cigarette from her.
11. | 
PARKER | What time do you think we'll get back? I have about 2 weeks worth of chapters to read tonight.
LYNCH | Oh no. She broke the rule.
X | (to Parker) Parker you just broke the first rule.
PARKER | 
R | What?
DAN | No worrying about the bullshit of real life. The whole point of this
A | is to relax and have fun. Worry about school when you get home.
PARKER | But, I haven't read a-
M | The chair suddenly stops and lurches forward slightly. Thesound of the chair lift cuts out.A deep silence takes over quickly, like the type of silencethat used to suddenly happen in school when you were taking atest and the radiator that you never even noticed was onwould suddenly shut off.
D | Random SKIERS and BOARDERS in the surrounding chairs expresstheir disgust for the delay.Parker instinctively grabs Dan's hand.
LYNCH | Uh-oh! Is someone afraid of heights?
PARKER | No.
LYNCH | So it doesn't bother you when I do this?Lynch rocks the chair back and forth.Parker grabs hold of the safety bar.
12. | 
PARKER | Quit it!Dan motions to Lynch to stop. PARKER (cont'd) I'm not afraid of heights. I just
X | don't like them.
DAN | Baby, in the whole history of time, only one chair has ever fallen off
R | of a lift.
PARKER | Points for calling me "baby" but you just made that statistic up.
PARKER | 
M | (nervous laughter) Oh, shut-up.Lynch turns around and yells behind him.
THE CHAIR RIGHT? | 
D | Laughter echoes from the chairs behind him.He yells forward.
E | LYNCH (cont'd)
DAN | Actually, I paid good money.
LYNCH | Yeah, but I'm gonna pay you back so it's like the same thing.With a lurch, the chair starts moving forward again and thewhirring sound of the cables above them start up again.Applause is heard from all of the other chairs.
13. | LYNCH (cont'd)
X | He playfully sticks his tongue out at her and she laughs as their chair moves forward exiting frame.
8   EXT. TOP OF THE CHAIR LIFT - LATER                                8 | 
R | The three begin to get situated with their boards and skis.
PARKER | Why do I have to wear a helmet?
PARKER | But you guys don't wear them.
M | She looks around. PARKER (cont'd) I only see little kids wearing them.
DAN | 
D | Cause they're still learning, too. Come on, I'm not gonna argue about this.
LYNCH | 
E | Even extreme boarders wear helmets. Nobody makes fun of them. She begrudgingly puts on her helmet. She's not happy about it. Dan and Lynch smile.
DAN / LYNCH | Awww.
PARKER | You're just doing this to make fun of me. Dan's laughing.
14. | 
DAN | No, I'm not. I swear. You look hot in a helmet.Off to the side, Lynch spots SHANNON (cute, brunette, 20's)struggling with her boot strap. She falls down on her ass.
X | Lynch nonchalantly maneuvers over to her side.
LYNCH | Need some help?
A | directly into his face.Parker and Dan watch from afar as Lynch helps her with herboot strap.He has one hand innocently on the back of her knee and he is
M | fastening the strap with his other.
PARKER | Aww, check out Lynch.From their point of view, they watch Lynch helping the girl.
DAN | 
D | See? Chick magnet.Almost as if on cue, RYAN (an enormous dude, 20's) stompsover and shoves Lynch down into the snow.
LYNCH | Woah! Shit, man! I was just trying to help!Instantly, Dan moves over to Lynch's aid. Parker followsslowly behind him. She's clearly not too good on her board.
SHANNON | Ryan, what the hell?
RYAN | He had his hands all over you!
15. | 
SHANNON | No he didn't. I can take care of myself!She shoves him back. Ryan just shakes his head at her andshoves off, away from the group. He waits for her down thehill a few feet.
X | Dan and Shannon help Lynch to his feet. SHANNON (cont'd) I am so sorry about that. He can
R | be such an asshole sometimes.
LYNCH | I was seriously just trying to help. I mean, how could I even
A | compete with a catch like that?He waves to Ryan. Ryan just looks away.
SHANNON | (laughs)
M | Are you OK?
LYNCH | Yeah, I'm fine.
SHANNON | Well, thank you for your help. I am so, so sorry about that.
D | (then) I'm Shannon, by the way.
LYNCH | Joe.
SHANNON | Well it was nice to meet you.She takes off after Ryan.
LYNCH | (to his friends) I was like one second away from beating that guy's ass.
16. | 
DAN | I know you were, man. Come on. Don't sweat it.
LYNCH | Seriously, that guy was such a dick.
R | Lynch starts down the hill.
