,name,period_0,period_1,period_2,period_3,period_4
disgust,VICKI,0.047758364,0.030612247,0.056509395999999996,0.011601902,0.035331637
surprise,VICKI,0.33448635700000007,0.25700009700000004,0.38596932,0.100832694,0.32124057500000003
neutral,VICKI,0.029166955,0.039093918,0.017857144,0.0,0.024890407399999998
anger,VICKI,0.351414784,0.446268984,0.18312341099999999,0.17747242400000002,0.33614814299999995
sad,VICKI,0.255305799,0.402954279,0.180557787,0.142400067,0.45949390500000004
happy,VICKI,0.36450749400000004,0.47084610299999996,0.356154532,0.199934465,0.513412764
fear,VICKI,0.164111106,0.22869022699999997,0.251649383,0.102982294,0.351406126
disgust,JOKER,0.14056080699999998,0.0,0.144740223,0.050635017,0.053865706
surprise,JOKER,0.4171363920000001,0.11595384,0.086034417,0.42653747900000005,0.360142931
neutral,JOKER,0.11886402459999998,0.040374626000000004,0.060499344,0.052628486,0.014285715
anger,JOKER,0.3960963170000001,0.024234693,0.33950427200000005,0.290266597,0.091964033
sad,JOKER,0.28671027600000004,0.063218878,0.098346239,0.173076121,0.281418945
happy,JOKER,0.38746238400000005,0.348277567,0.6010880239999999,0.39113573900000004,0.4613844969999999
fear,JOKER,0.407496423,0.101496749,0.272555234,0.30875483400000003,0.41141877000000004
disgust,BRUCE,0.042214149,0.15415114300000002,0.15028998899999998,0.054073309,0.12814098000000002
surprise,BRUCE,0.311058445,0.426753077,0.083041032,0.7010271900000001,0.373268973
neutral,BRUCE,0.075867636,0.135193713,0.003968254,0.051164135599999994,0.07608891300000001
anger,BRUCE,0.23060550500000002,0.7099663919999999,0.19584188800000002,0.691096318,0.33642028799999996
sad,BRUCE,0.179684137,0.30480687100000003,0.218118532,0.383954637,0.36971465
happy,BRUCE,0.475127382,0.44179490000000005,0.222506438,0.739389175,0.63157595
fear,BRUCE,0.256170189,0.221587484,0.27607337,0.394138464,0.482262325
disgust,KNOX,0.023697638,0.0493486775,0.027139528,0.105437331,0.025795634499999998
surprise,KNOX,0.147327386,0.304171556,0.13014484,0.607155823,0.351399124
neutral,KNOX,0.038095527000000004,0.064659965,0.049295457,0.09521382800000001,0.020128502
anger,KNOX,0.274259717,0.3069431819999999,0.172152367,0.27872398200000004,0.170540483
sad,KNOX,0.05701632500000001,0.297824708,0.16886312,0.333768436,0.130891457
happy,KNOX,0.564290791,0.465275017,0.276745989,0.421146296,0.34937923499999995
fear,KNOX,0.26761382899999997,0.356257447,0.115725449,0.339588152,0.216221759
disgust,BATMAN,0.0,0.039598111000000005,0.011363638,0.050045496999999994,0.052426451
surprise,BATMAN,0.116176647,0.18684856400000002,0.0300656,0.10990112400000002,0.129524435
neutral,BATMAN,0.0,0.013006707,0.032438118,0.035714287,0.014285715
anger,BATMAN,0.024785327,0.159277072,0.250560018,0.19375085499999997,0.189829706
sad,BATMAN,0.108835171,0.255159572,0.14629249,0.14074986900000003,0.116811942
happy,BATMAN,0.07397911500000001,0.19828867200000003,0.30361448,0.17400648700000002,0.152481729
fear,BATMAN,0.030281078,0.257418605,0.068442186,0.132796967,0.284930906
