,name,period_0,period_1,period_2,period_3,period_4
disgust,CHUCK,0.27475611699999997,0.25603931650000006,0.179750172,0.110386497,0.1709067425
surprise,CHUCK,1.620457997,1.4738904220000002,1.3843886220000001,1.043754194,1.2852838869999998
neutral,CHUCK,0.342956158,0.31627821450000004,0.08147304359999999,0.131503341,0.285971535
anger,CHUCK,2.153224116,1.451777583,1.629814968,1.06357133,0.9816683110000001
sad,CHUCK,1.277992109,1.2514383780000002,1.6285517359999995,1.119928546,1.3256284340000004
happy,CHUCK,1.8112573779999996,1.9504612399999994,2.272401162000001,1.7453148060000003,1.5786884490000002
fear,CHUCK,1.6262230749999997,1.2634175460000001,1.953483623,1.3168945899999998,1.469336270999999
disgust,KELLY,0.010204082,0.008760109,0.045512912,0.029508198,0.011601902
surprise,KELLY,0.121737791,0.179553,0.111889478,0.43862143800000003,0.054371007
neutral,KELLY,0.040259547,0.038205408,0.069423959,0.048947176,0.020128502
anger,KELLY,0.029591838,0.203732652,0.21600371100000001,0.39223462499999995,0.11638449900000002
sad,KELLY,0.0,0.16674220099999998,0.208973327,0.25633495700000003,0.057599802000000005
happy,KELLY,0.167551129,0.28084931399999996,0.17157873199999998,0.48408594999999993,0.213155549
fear,KELLY,0.112275825,0.230854698,0.148433173,0.34927312,0.031034485
disgust,STAN,0.030459702499999998,0.033138302,0.0,0.052683900500000005,0.1477868245
surprise,STAN,0.038461544,0.09713371,0.0,0.224362476,0.12939635500000002
neutral,STAN,0.025623008,0.020128502,0.020128502,0.008928572,0.032738098
anger,STAN,0.43941570899999993,0.231451661,0.09054077999999999,0.338425465,0.22565431699999997
sad,STAN,0.22815124500000003,0.12773642400000002,0.128849924,0.165353807,0.12859441800000002
happy,STAN,0.233502735,0.274863409,0.062362529,0.10281726,0.09413870400000002
fear,STAN,0.353494316,0.086207171,0.031034485,0.208886028,0.12102538900000001
disgust,TECHNICIAN,0.0,0.0,0.058760109000000005,0.0,0.0
surprise,TECHNICIAN,0.03139792,0.0,0.03162431,0.0,0.0
neutral,TECHNICIAN,0.009038453,0.032438118,0.0071428576,0.0,0.0
anger,TECHNICIAN,0.04431217,0.0,0.031671163,0.0,0.0
sad,TECHNICIAN,0.049075941,0.0,0.025489338,0.0,0.0
happy,TECHNICIAN,0.04917038,0.054279245,0.09926882499999999,0.0,0.0
fear,TECHNICIAN,0.07970421999999999,0.0,0.119954095,0.0,0.0
disgust,GOODCHUCK,0.035714287,0.044938941999999996,0.03690838,0.096134757,0.10119047199999999
surprise,GOODCHUCK,0.21538507,0.391770895,0.09035315,0.345126625,0.332247432
neutral,GOODCHUCK,0.08295814800000001,0.004201681,0.004201681,0.043953333,0.017594539
anger,GOODCHUCK,0.156186408,0.472757513,0.17406719299999998,0.183603867,0.4231523340000001
sad,GOODCHUCK,0.35880221399999995,0.4311010330000001,0.516354921,0.36828782400000004,0.32744847700000007
happy,GOODCHUCK,0.37741691200000005,0.34868855900000006,0.158076471,0.261644852,0.698329741
fear,GOODCHUCK,0.505718542,0.345130613,0.060446252,0.141376744,0.381025136
