,name,period_0,period_1,period_2,period_3,period_4
disgust,JOKER,0.5336791679,0.2171294851,0.19017012500000002,0.3873586808000001,0.2071978463
surprise,JOKER,1.2962837820000002,1.323217527,1.6757226379999999,1.684221383,1.551098465
neutral,JOKER,0.1139797132,0.0806498692,0.08306124179999999,0.06071458129999999,0.1469745023
anger,JOKER,1.6916752489999998,1.1590604070000001,0.9964996440000002,1.5523534235,1.166093441
sad,JOKER,1.5343310140000002,1.0017247960000002,1.0520528659999997,1.439780098,1.210541377
happy,JOKER,1.5152841309999998,1.6291978540000003,1.268549471,1.6522900120000001,1.5128619140000001
fear,JOKER,1.033900381,1.010953552,1.028907668,1.3460462090000005,1.5231640679999991
disgust,MURRAY FRANKLIN,0.0432921939,0.029957690199999998,0.04862783529999999,0.039763128200000004,0.029005180199999998
surprise,MURRAY FRANKLIN,0.266491817,0.206482457,0.31825321199999995,0.42303776699999995,0.401157662
neutral,MURRAY FRANKLIN,0.0068681325,0.020128502,0.024456227999999997,0.0393924931,0.0139870588
anger,MURRAY FRANKLIN,0.262312618,0.132526768,0.193995021,0.32081520699999994,0.359436425
sad,MURRAY FRANKLIN,0.190152027,0.177150313,0.22985859200000003,0.32002605500000003,0.128900576
happy,MURRAY FRANKLIN,0.389576637,0.22401834,0.266732748,0.383482582,0.233196338
fear,MURRAY FRANKLIN,0.25149526899999997,0.210828603,0.13948657399999997,0.31749047099999994,0.23429443000000003
disgust,SOPHIE,0.12352669660000001,0.0632964575,0.1093521931,0.055879384,0.059295311899999995
surprise,SOPHIE,0.565629563,0.553877855,0.35575365700000006,0.161729816,0.49201549000000006
neutral,SOPHIE,0.0208819105,0.0264885033,0.006036264499999999,0.0024630544,0.0040178574
anger,SOPHIE,0.3770309209999999,0.303601825,0.18592686349999998,0.211467657,0.4310793929999999
sad,SOPHIE,0.4283065179999999,0.28084083800000004,0.160414632,0.29297099699999996,0.33204619700000004
happy,SOPHIE,0.35091914300000004,0.40170529450000003,0.379918729,0.225688126,0.291334314
fear,SOPHIE,0.414854884,0.279576899,0.187289402,0.170434286,0.3215752
disgust,RANDALL,0.0716004501,0.07540444100000002,0.0215300542,0.07815820320000001,0.017975525
surprise,RANDALL,0.288081223,0.24497760299999996,0.160338077,0.32979606000000006,0.13822631900000001
neutral,RANDALL,0.023168015799999997,0.0047340427,0.040257004,0.005102041,0.0
anger,RANDALL,0.19565867199999998,0.37001112900000005,0.153065132,0.23032702400000002,0.075801747
sad,RANDALL,0.12818939,0.26853135899999997,0.135695334,0.176485208,0.092188783
happy,RANDALL,0.37666622099999997,0.15649208999999997,0.278480649,0.2629434975,0.01676385
fear,RANDALL,0.161091538,0.36281365200000004,0.159066965,0.20517043449999997,0.047895278
disgust,MOM,0.0333171294,0.046155010999999996,0.042297849000000005,0.0167883897,0.1401426678
surprise,MOM,0.22742706999999998,0.18335366900000002,0.242506456,0.164288618,0.155032825
neutral,MOM,0.03549301,0.051546042,0.0462374366,0.0030811027,0.0219142164
anger,MOM,0.175425572,0.115195575,0.225321874,0.11046602999999999,0.144320579
sad,MOM,0.204513326,0.16536478300000002,0.250485179,0.105274756,0.09936977699999999
happy,MOM,0.290912909,0.21511056,0.300398447,0.175447593,0.159274083
fear,MOM,0.201688028,0.10204832999999999,0.16594607399999997,0.270310123,0.115366541
