,name,period_0,period_1,period_2,period_3,period_4
disgust,MIA,0.10888571799999999,0.1337408045,0.24370054700000002,0.135750371,0.17638198
surprise,MIA,0.742820312,1.1442519070000001,1.348125215,1.7702323670000002,0.7968001060000001
neutral,MIA,0.026082253099999998,0.1033772768,0.16034178600000001,0.083829368,0.14201770139999997
anger,MIA,0.5131160250000001,0.430569873,0.8343426269999998,0.5511129379999999,0.6670091530000002
sad,MIA,0.337894492,0.4335965460000001,0.5622198999999999,0.6556661569999999,0.615611953
happy,MIA,0.8728106849999999,1.0587551400000002,0.6828568789999999,0.8973467749999999,0.9569122409999999
fear,MIA,0.593767203,0.9180746550000001,0.43661348299999997,0.7200212710000002,0.842510362
disgust,SEBASTIAN,0.10510901450000001,0.231362899,0.22661650150000004,0.072496649,0.152993456
surprise,SEBASTIAN,1.03689331,1.399006742,1.3677411279999998,0.880192786,1.1656867549999999
neutral,SEBASTIAN,0.16068076999999997,0.225177647,0.160575213,0.1832092074,0.244523731
anger,SEBASTIAN,0.42724256000000005,0.945860522,0.83818504,0.662900128,0.434595665
sad,SEBASTIAN,0.365144752,0.703710634,0.9709791859999999,0.6219018749999999,0.338751835
happy,SEBASTIAN,0.7373234490000001,1.060612031,1.1775347579999997,1.272828589,0.9102529380000001
fear,SEBASTIAN,0.723756092,0.8426041360000001,0.8353290080000002,0.593915891,0.437883783
disgust,LAURA,0.008760109,0.032913169,0.03041568,0.0,0.017749439
surprise,LAURA,0.03162431,0.159447427,0.183252724,0.276942763,0.058717907
neutral,LAURA,0.020128502,0.023809526,0.040257004,0.0,0.07098602
anger,LAURA,0.056016108,0.29774468899999995,0.274968309,0.0,0.083580484
sad,LAURA,0.025489338,0.026670756,0.149830807,0.0,0.11568195
happy,LAURA,0.09783824799999999,0.144456615,0.31462807100000006,0.119089732,0.22010121100000002
fear,LAURA,0.129923539,0.0,0.094328182,0.039614126,0.124551245
disgust,KEITH,0.0153061235,0.10124224,0.035714287,0.035714287,0.0
surprise,KEITH,0.083330563,0.25117097499999996,0.138632883,0.107142866,0.42685111900000006
neutral,KEITH,0.020128502,0.1051934406,0.035714287,0.055842789,0.0
anger,KEITH,0.057143779,0.180558848,0.104545457,0.176783976,0.05151243
sad,KEITH,0.110289735,0.19631535099999997,0.12691932299999997,0.071428574,0.114882205
happy,KEITH,0.11741048300000001,0.358643319,0.15175244300000001,0.10571228399999999,0.23706269
fear,KEITH,0.096239196,0.212732933,0.13566652099999998,0.068322987,0.096276443
disgust,TRACY,0.01739332,0.014285715,0.039413656,0.04907407799999999,0.0
surprise,TRACY,0.0,0.042857148,0.040983606,0.0,0.157484267
neutral,TRACY,0.0,0.030055465,0.0,0.017857144,0.006493507
anger,TRACY,0.035482377,0.03142857,0.093716934,0.084788367,0.11663781
sad,TRACY,0.0,0.0,0.026785716,0.053571433,0.122057832
happy,TRACY,0.0317718,0.124860684,0.119371807,0.110052915,0.091672647
fear,TRACY,0.0,0.037142858,0.0,0.053571433,0.180227679
