,name,period_0,period_1,period_2,period_3,period_4
disgust,TURKISH,0.008928572,0.008928572,0.008928572,0.063481918,0.028321798000000002
surprise,TURKISH,0.153064891,0.317882927,0.187349421,0.225801191,0.526262878
neutral,TURKISH,0.038753261,0.049185575999999995,0.04713398,0.069314078,0.024890407399999998
anger,TURKISH,0.4505850380000001,0.394666863,0.149791376,0.7654407029999999,0.415893122
sad,TURKISH,0.36290696499999997,0.270507725,0.107136101,0.619370435,0.26796824199999997
happy,TURKISH,0.5879759029999999,0.5488111960000001,0.295793814,0.22974482,0.326381806
fear,TURKISH,0.439711584,0.603521397,0.146618291,0.110533322,0.338211981
disgust,SOL,0.029958890000000002,0.147226848,0.136295772,0.058551625499999996,0.06164739999999999
surprise,SOL,0.29898944400000005,0.23850074300000002,0.505542428,0.309452369,0.492987956
neutral,SOL,0.09690779999999999,0.07736046700000002,0.0596614626,0.09936954299999998,0.08402542199999999
anger,SOL,0.5508580719999999,0.711913301,0.416949815,0.43607424100000003,0.5392115580000001
sad,SOL,0.567599836,0.35104635300000003,0.300396273,0.234307861,0.248910339
happy,SOL,0.7164121119999999,0.6246650920000001,0.6507259660000001,0.3811269540000001,0.33474407300000003
fear,SOL,0.31976860900000004,0.296051038,0.8182172180000001,0.24518374700000004,0.245787905
disgust,BTT,0.049313647999999995,0.06215116700000001,0.085869331,0.08934899999999998,0.0658168505
surprise,BTT,0.4235743369999999,0.30777577700000003,0.44839318300000003,0.31573003499999996,0.180409403
neutral,BTT,0.0415029625,0.078555182,0.10875896299999999,0.134415083,0.034414217
anger,BTT,0.24487685000000003,0.233062976,0.323994989,0.512004922,0.252123595
sad,BTT,0.39747173299999994,0.18347326900000002,0.17855064800000003,0.259502869,0.359274571
happy,BTT,0.46366500599999994,0.5674855679999999,0.271102698,0.694777531,0.444967436
fear,BTT,0.469060198,0.25732399699999997,0.42927506099999996,0.471233194,0.35368648
disgust,VINNY,0.068101657,0.089528201,0.102724069,0.068378948,0.039482701
surprise,VINNY,0.256360869,0.178737369,0.44649688700000006,0.32513002,0.305948316
neutral,VINNY,0.020128502,0.034374229,0.11354967210000001,0.04365079599999999,0.064716926
anger,VINNY,0.366719325,0.44935939700000005,0.6152440239999999,0.48710944500000003,0.31065815900000004
sad,VINNY,0.089897611,0.18944129699999998,0.411199095,0.511792539,0.34658189300000003
happy,VINNY,0.34919258400000003,0.33184521,0.673598369,0.333171549,0.260325137
fear,VINNY,0.208694097,0.473962554,0.45882080700000005,0.508040442,0.266080599
disgust,HANDS,0.13328321299999998,0.078137199,0.150599934,0.033082708,0.071364736
surprise,HANDS,0.43352445700000003,0.296733332,0.15902898999999998,0.235136606,0.24632023000000003
neutral,HANDS,0.067747554,0.078025482,0.0,0.0969078,0.064876236
anger,HANDS,0.47411288300000004,0.342151195,0.135422926,0.131738109,0.32345852399999997
sad,HANDS,0.367361104,0.18255251,0.15549931,0.263242419,0.15555391400000002
happy,HANDS,0.311817806,0.27161013100000003,0.158376556,0.3878366279999999,0.44874558600000003
fear,HANDS,0.383830611,0.211606372,0.110149427,0.23513083899999998,0.34779765500000004
