,name,period_0,period_1,period_2,period_3,period_4
disgust,CARL,0.046503010000000004,0.04711661,0.105939003,0.05988189050000001,0.055779574
surprise,CARL,0.099031278,0.3765335470000001,0.298137218,0.36409355,0.22817671
neutral,CARL,0.012138189,0.055621512,0.040257004,0.10513323999999999,0.0568559166
anger,CARL,0.272279094,0.3554540730000001,0.404332139,0.25035943099999997,0.381060841
sad,CARL,0.276036328,0.335260512,0.245857638,0.404502776,0.297829507
happy,CARL,0.7041578920000001,0.5614279879999999,0.6324754349999999,0.6160508319999999,0.7004853119999999
fear,CARL,0.461550376,0.552384274,0.32683103,0.435876569,0.308100835
disgust,RUSSELL,0.070614363,0.008175559,0.15444137600000002,0.10640501,0.039392594
surprise,RUSSELL,0.21353293899999998,0.32659646400000003,0.446519961,0.418049153,0.28740399199999994
neutral,RUSSELL,0.081975032,0.015873016,0.0366391698,0.0126984134,0.0
anger,RUSSELL,0.131109096,0.195404941,0.417495554,0.452458658,0.273861602
sad,RUSSELL,0.17665556599999999,0.26022895200000007,0.438387425,0.358529255,0.29969748700000004
happy,RUSSELL,0.5151570000000001,0.693819522,0.32137386700000004,0.640275218,0.8761765159999999
fear,RUSSELL,0.417942994,0.48489629700000003,0.377951206,0.299498763,0.395178092
disgust,MUNTZ,0.035482573499999996,0.14772614250000002,0.011904763,0.011520738,0.080331871
surprise,MUNTZ,0.040178575,0.118678373,0.041125543,0.066721639,0.09051785600000001
neutral,MUNTZ,0.004464286,0.019780221,0.011904763,0.0,0.0
anger,MUNTZ,0.127937584,0.35108969900000003,0.035714287,0.094061464,0.142286511
sad,MUNTZ,0.06425789600000001,0.19774033600000002,0.05952381,0.11929057600000001,0.144948785
happy,MUNTZ,0.077146573,0.060812546,0.12920638,0.174942882,0.29645149800000004
fear,MUNTZ,0.09840839,0.154710949,0.116258815,0.0,0.430776495
disgust,DUG,0.06489673,0.08604172200000001,0.057603690000000006,0.011520738,0.018518519
surprise,DUG,0.06690269,0.16214803700000002,0.06861756999999999,0.17222393,0.13409735
neutral,DUG,0.07098602,0.005494506,0.0,0.004464286,0.004464286
anger,DUG,0.025395034,0.024785327,0.054605266,0.149740925,0.053885856999999995
sad,DUG,0.08097064200000001,0.049450554,0.051478127,0.025733527,0.07927787
happy,DUG,0.9792298609999999,0.6141759419999999,0.34038322499999996,0.30525791199999996,0.258077435
fear,DUG,0.028619802,0.058270678,0.03327922,0.02861953,0.089069974
disgust,ALPHA,0.011520738,0.0,0.034562214,0.037077751,0.021565382
surprise,ALPHA,0.0,0.18512178599999998,0.0,0.030691966,0.0
neutral,ALPHA,0.0,0.0,0.0,0.0,0.030055465
anger,ALPHA,0.0,0.134589137,0.033163264,0.06658397199999999,0.025669644
sad,ALPHA,0.0,0.085058702,0.0,0.024246398,0.0
happy,ALPHA,0.062211983,0.10285772699999998,0.186635949,0.096252163,0.162179428
fear,ALPHA,0.0,0.058034147,0.082814835,0.11573894500000001,0.0
